District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Parsa,Female,Seeking job,0, 205706
 Parsa,Female,Seeking job,1, 259
 Parsa,Female,Seeking job,2,424
 Parsa,Female,Seeking job,3, 242
 Parsa,Female,Seeking job,4,237
 Parsa,Female,Seeking job,5,41
 Parsa,Female,Seeking job,6,179
 Parsa,Female,Seeking job,7,  58
 Parsa,Female,Seeking job,8,  25
 Parsa,Female,Seeking job,9,16
 Parsa,Female,Seeking job,10,33
 Parsa,Female,Seeking job,11, 0
 Parsa,Female,Seeking job,12, 426
 Parsa,Female,Non-Economic,0, 19861
 Parsa,Female,Non-Economic,1, 334
 Parsa,Female,Non-Economic,2, 2926
 Parsa,Female,Non-Economic,3,  2122
 Parsa,Female,Non-Economic,4, 3638
 Parsa,Female,Non-Economic,5,1496
 Parsa,Female,Non-Economic,6, 6024
 Parsa,Female,Non-Economic,7,  1144
 Parsa,Female,Non-Economic,8,  3532
 Parsa,Female,Non-Economic,9,2231
 Parsa,Female,Non-Economic,10,2633
 Parsa,Female,Non-Economic,11,  195
 Parsa,Female,Non-Economic,12,161509
 Chitawan,Male,Economic,0,88917
 Chitawan,Male,Economic,1, 523
 Chitawan,Male,Economic,2, 1643
 Chitawan,Male,Economic,3,  1836
 Chitawan,Male,Economic,4, 1850
 Chitawan,Male,Economic,5,  974
 Chitawan,Male,Economic,6, 7018
 Chitawan,Male,Economic,7,  2101
 Chitawan,Male,Economic,8,  5028
 Chitawan,Male,Economic,9,3593
 Chitawan,Male,Economic,10, 5801
 Chitawan,Male,Economic,11,1537
 Chitawan,Male,Economic,12, 96986
 Chitawan,Male,Extended Economic,0,  204232
 Chitawan,Male,Extended Economic,1,  2516
 Chitawan,Male,Extended Economic,2, 3817
 Chitawan,Male,Extended Economic,3,  2570
 Chitawan,Male,Extended Economic,4, 1314
 Chitawan,Male,Extended Economic,5,  415
 Chitawan,Male,Extended Economic,6, 1430
 Chitawan,Male,Extended Economic,7,  82
 Chitawan,Male,Extended Economic,8, 244
 Chitawan,Male,Extended Economic,9,  203
 Chitawan,Male,Extended Economic,10,121
 Chitawan,Male,Extended Economic,11,24
 Chitawan,Male,Extended Economic,12, 840
 Chitawan,Male,Seeking job,0,  207712
 Chitawan,Male,Seeking job,1,  1640
 Chitawan,Male,Seeking job,2, 2106
 Chitawan,Male,Seeking job,3,  1239
 Chitawan,Male,Seeking job,4, 1012
 Chitawan,Male,Seeking job,5,  370
 Chitawan,Male,Seeking job,6, 1168
 Chitawan,Male,Seeking job,7, 168
 Chitawan,Male,Seeking job,8, 284
 Chitawan,Male,Seeking job,9,  122
 Chitawan,Male,Seeking job,10,136
 Chitawan,Male,Seeking job,11,32
 Chitawan,Male,Seeking job,12,  1816
 Chitawan,Male,Non-Economic,0, 109405
 Chitawan,Male,Non-Economic,1,  1768
 Chitawan,Male,Non-Economic,2, 5566
 Chitawan,Male,Non-Economic,3,  3099
 Chitawan,Male,Non-Economic,4, 3563
 Chitawan,Male,Non-Economic,5,1194
 Chitawan,Male,Non-Economic,6, 3782
 Chitawan,Male,Non-Economic,7, 534
 Chitawan,Male,Non-Economic,8,  1183
 Chitawan,Male,Non-Economic,9,1141
 Chitawan,Male,Non-Economic,10, 1621
 Chitawan,Male,Non-Economic,11,  420
 Chitawan,Male,Non-Economic,12, 84529
 Chitawan,Female,Economic,0, 135943
 Chitawan,Female,Economic,1,  1368
 Chitawan,Female,Economic,2, 4560
 Chitawan,Female,Economic,3,  6302
 Chitawan,Female,Economic,4, 6841
 Chitawan,Female,Economic,5,2772
 Chitawan,Female,Economic,6,23949
 Chitawan,Female,Economic,7,  4763
 Chitawan,Female,Economic,8, 11715
 Chitawan,Female,Economic,9,4895
 Chitawan,Female,Economic,10, 6752
 Chitawan,Female,Economic,11,  619
 Chitawan,Female,Economic,12, 39781
 Chitawan,Female,Extended Economic,0, 225473
 Chitawan,Female,Extended Economic,1,  3827
 Chitawan,Female,Extended Economic,2, 8046
 Chitawan,Female,Extended Economic,3,  5440
 Chitawan,Female,Extended Economic,4, 2862
 Chitawan,Female,Extended Economic,5,  608
 Chitawan,Female,Extended Economic,6, 2241
 Chitawan,Female,Extended Economic,7, 168
 Chitawan,Female,Extended Economic,8, 444
 Chitawan,Female,Extended Economic,9,  209
 Chitawan,Female,Extended Economic,10,209
 Chitawan,Female,Extended Economic,11,48
 Chitawan,Female,Extended Economic,12, 686
 Chitawan,Female,Seeking job,0, 246250
 Chitawan,Female,Seeking job,1, 729
 Chitawan,Female,Seeking job,2,801
 Chitawan,Female,Seeking job,3, 553
 Chitawan,Female,Seeking job,4,577
 Chitawan,Female,Seeking job,5,  163
 Chitawan,Female,Seeking job,6,575
 Chitawan,Female,Seeking job,7,  73
 Chitawan,Female,Seeking job,8, 122
 Chitawan,Female,Seeking job,9,41
 Chitawan,Female,Seeking job,10, 66
 Chitawan,Female,Seeking job,11, 0
 Chitawan,Female,Seeking job,12, 311
 Chitawan,Female,Non-Economic,0, 45424
 Chitawan,Female,Non-Economic,1,  1135
 Chitawan,Female,Non-Economic,2, 8779
 Chitawan,Female,Non-Economic,3,  7515
 Chitawan,Female,Non-Economic,4,12580
 Chitawan,Female,Non-Economic,5,4887
 Chitawan,Female,Non-Economic,6,21371
 Chitawan,Female,Non-Economic,7,  2475
 Chitawan,Female,Non-Economic,8,  5729
 Chitawan,Female,Non-Economic,9,4757
 Chitawan,Female,Non-Economic,10, 4441
 Chitawan,Female,Non-Economic,11,1046
 Chitawan,Female,Non-Economic,12,130120
 Gorkha,Male,Economic,0,35380
 Gorkha,Male,Economic,1, 488
 Gorkha,Male,Economic,2, 2097
 Gorkha,Male,Economic,3, 669
 Gorkha,Male,Economic,4,999
 Gorkha,Male,Economic,5, 394
 Gorkha,Male,Economic,6,  3367
 Gorkha,Male,Economic,7,  1167
 Gorkha,Male,Economic,8,  3621
 Gorkha,Male,Economic,9,2543
 Gorkha,Male,Economic,10, 5431
 Gorkha,Male,Economic,11,1238
 Gorkha,Male,Economic,12, 35428
 Gorkha,Male,Extended Economic,0,83258
 Gorkha,Male,Extended Economic,1,  1799
 Gorkha,Male,Extended Economic,2, 3745
 Gorkha,Male,Extended Economic,3,  1681
 Gorkha,Male,Extended Economic,4, 1104
 Gorkha,Male,Extended Economic,5, 144
 Gorkha,Male,Extended Economic,6, 679
 Gorkha,Male,Extended Economic,7,  60
 Gorkha,Male,Extended Economic,8,  90
 Gorkha,Male,Extended Economic,9,18
 Gorkha,Male,Extended Economic,10, 59
 Gorkha,Male,Extended Economic,11,16
 Gorkha,Male,Extended Economic,12, 171
 Gorkha,Male,Seeking job,0,88630
 Gorkha,Male,Seeking job,1, 639
 Gorkha,Male,Seeking job,2, 1160
 Gorkha,Male,Seeking job,3, 455
 Gorkha,Male,Seeking job,4,732
 Gorkha,Male,Seeking job,5,  73
 Gorkha,Male,Seeking job,6, 390
 Gorkha,Male,Seeking job,7,  26
 Gorkha,Male,Seeking job,8, 124
 Gorkha,Male,Seeking job,9,53
 Gorkha,Male,Seeking job,10, 79
 Gorkha,Male,Seeking job,11, 0
 Gorkha,Male,Seeking job,12, 461
 Gorkha,Male,Non-Economic,0,  43545
 Gorkha,Male,Non-Economic,1,  1011
 Gorkha,Male,Non-Economic,2, 3945
 Gorkha,Male,Non-Economic,3,  1670
 Gorkha,Male,Non-Economic,4, 2066
 Gorkha,Male,Non-Economic,5, 656
 Gorkha,Male,Non-Economic,6,  1793
 Gorkha,Male,Non-Economic,7, 256
 Gorkha,Male,Non-Economic,8, 826
 Gorkha,Male,Non-Economic,9,  594
 Gorkha,Male,Non-Economic,10, 2392
 Gorkha,Male,Non-Economic,11,  386
 Gorkha,Male,Non-Economic,12, 33683
 Gorkha,Female,Economic,0,  48675
 Gorkha,Female,Economic,1, 626
 Gorkha,Female,Economic,2, 2627
 Gorkha,Female,Economic,3,  1349
 Gorkha,Female,Economic,4, 2847
 Gorkha,Female,Economic,5,1228
 Gorkha,Female,Economic,6,13421
 Gorkha,Female,Economic,7,  3420
 Gorkha,Female,Economic,8, 11121
 Gorkha,Female,Economic,9,4426
 Gorkha,Female,Economic,10, 8366
 Gorkha,Female,Economic,11,  873
 Gorkha,Female,Economic,12, 24152
 Gorkha,Female,Extended Economic,0, 110554
 Gorkha,Female,Extended Economic,1,  2660
 Gorkha,Female,Extended Economic,2, 4960
 Gorkha,Female,Extended Economic,3,  2135
 Gorkha,Female,Extended Economic,4, 1498
 Gorkha,Female,Extended Economic,5,  118
 Gorkha,Female,Extended Economic,6,759
 Gorkha,Female,Extended Economic,7,  44
 Gorkha,Female,Extended Economic,8,  94
 Gorkha,Female,Extended Economic,9,28
 Gorkha,Female,Extended Economic,10, 60
 Gorkha,Female,Extended Economic,11, 8
 Gorkha,Female,Extended Economic,12, 211
 Gorkha,Female,Seeking job,0, 121385
 Gorkha,Female,Seeking job,1, 429
 Gorkha,Female,Seeking job,2,424
 Gorkha,Female,Seeking job,3, 185
 Gorkha,Female,Seeking job,4,284
 Gorkha,Female,Seeking job,5,29
 Gorkha,Female,Seeking job,6,182
 Gorkha,Female,Seeking job,7,  24
 Gorkha,Female,Seeking job,8,  73
 Gorkha,Female,Seeking job,9, 1
 Gorkha,Female,Seeking job,10,  9
 Gorkha,Female,Seeking job,11, 0
 Gorkha,Female,Seeking job,12, 106
 Gorkha,Female,Non-Economic,0, 27787
 Gorkha,Female,Non-Economic,1,  1162
 Gorkha,Female,Non-Economic,2, 9118
 Gorkha,Female,Non-Economic,3,  5463
 Gorkha,Female,Non-Economic,4,10964
 Gorkha,Female,Non-Economic,5,2769
 Gorkha,Female,Non-Economic,6,11027
 Gorkha,Female,Non-Economic,7, 971
 Gorkha,Female,Non-Economic,8,  2485
 Gorkha,Female,Non-Economic,9,1232
 Gorkha,Female,Non-Economic,10, 3003
 Gorkha,Female,Non-Economic,11,  494
 Gorkha,Female,Non-Economic,12, 46656
 Lamjung,Male,Economic,0, 26110
 Lamjung,Male,Economic,1, 81
 Lamjung,Male,Economic,2,374
 Lamjung,Male,Economic,3, 355
 Lamjung,Male,Economic,4,792
 Lamjung,Male,Economic,5, 554
 Lamjung,Male,Economic,6,  2878
 Lamjung,Male,Economic,7,  1127
 Lamjung,Male,Economic,8,  3258
 Lamjung,Male,Economic,9,2676
 Lamjung,Male,Economic,10,3608
 Lamjung,Male,Economic,11,  896
 Lamjung,Male,Economic,12, 15467
 Lamjung,Male,Extended Economic,0, 48499
 Lamjung,Male,Extended Economic,1, 1661
 Lamjung,Male,Extended Economic,2, 3193
 Lamjung,Male,Extended Economic,3,  2135
 Lamjung,Male,Extended Economic,4, 1369
 Lamjung,Male,Extended Economic,5, 187
 Lamjung,Male,Extended Economic,6, 577
 Lamjung,Male,Extended Economic,7,  58
 Lamjung,Male,Extended Economic,8, 147
 Lamjung,Male,Extended Economic,9,48
 Lamjung,Male,Extended Economic,10,57
 Lamjung,Male,Extended Economic,11, 0
 Lamjung,Male,Extended Economic,12, 244
 Lamjung,Male,Seeking job,0, 54646
 Lamjung,Male,Seeking job,1,692
 Lamjung,Male,Seeking job,2,965
 Lamjung,Male,Seeking job,3, 473
 Lamjung,Male,Seeking job,4,432
 Lamjung,Male,Seeking job,5,  99
 Lamjung,Male,Seeking job,6, 368
 Lamjung,Male,Seeking job,7,  33
 Lamjung,Male,Seeking job,8,  90
 Lamjung,Male,Seeking job,9, 0
 Lamjung,Male,Seeking job,10,64
 Lamjung,Male,Seeking job,11, 9
 Lamjung,Male,Seeking job,12, 303
 Lamjung,Male,Non-Economic,0,22142
 Lamjung,Male,Non-Economic,1, 1285
 Lamjung,Male,Non-Economic,2, 3321
 Lamjung,Male,Non-Economic,3,  1875
 Lamjung,Male,Non-Economic,4, 1747
 Lamjung,Male,Non-Economic,5, 620
 Lamjung,Male,Non-Economic,6, 997
 Lamjung,Male,Non-Economic,7, 260
 Lamjung,Male,Non-Economic,8, 382
 Lamjung,Male,Non-Economic,9,  192
 Lamjung,Male,Non-Economic,10,  283
 Lamjung,Male,Non-Economic,11,90
 Lamjung,Male,Non-Economic,12, 24980
 Lamjung,Female,Economic,0,  32751
 Lamjung,Female,Economic,1, 265
 Lamjung,Female,Economic,2, 1427
 Lamjung,Female,Economic,3,  1737
 Lamjung,Female,Economic,4, 2969
 Lamjung,Female,Economic,5,1960
 Lamjung,Female,Economic,6, 9810
 Lamjung,Female,Economic,7,  3011
 Lamjung,Female,Economic,8,  6215
 Lamjung,Female,Economic,9,2966
 Lamjung,Female,Economic,10,4004
 Lamjung,Female,Economic,11,  523
 Lamjung,Female,Economic,12,  8257
 Lamjung,Female,Extended Economic,0,  57291
 Lamjung,Female,Extended Economic,1,  2870
 Lamjung,Female,Extended Economic,2, 7104
 Lamjung,Female,Extended Economic,3,  4107
 Lamjung,Female,Extended Economic,4, 2457
 Lamjung,Female,Extended Economic,5,  352
 Lamjung,Female,Extended Economic,6, 1016
 Lamjung,Female,Extended Economic,7, 137
 Lamjung,Female,Extended Economic,8, 263
 Lamjung,Female,Extended Economic,9,66
 Lamjung,Female,Extended Economic,10,  112
 Lamjung,Female,Extended Economic,11, 8
 Lamjung,Female,Extended Economic,12, 112
 Lamjung,Female,Seeking job,0,  74743
 Lamjung,Female,Seeking job,1, 184
 Lamjung,Female,Seeking job,2,352
 Lamjung,Female,Seeking job,3, 145
 Lamjung,Female,Seeking job,4,144
 Lamjung,Female,Seeking job,5,87
 Lamjung,Female,Seeking job,6,167
 Lamjung,Female,Seeking job,7,  24
 Lamjung,Female,Seeking job,8,8
 Lamjung,Female,Seeking job,9, 0
 Lamjung,Female,Seeking job,10, 9
 Lamjung,Female,Seeking job,11, 0
 Lamjung,Female,Seeking job,12,  33
 Lamjung,Female,Non-Economic,0, 11578
 Lamjung,Female,Non-Economic,1,  1072
 Lamjung,Female,Non-Economic,2, 5336
 Lamjung,Female,Non-Economic,3,  5000
 Lamjung,Female,Non-Economic,4, 7186
 Lamjung,Female,Non-Economic,5,3122
 Lamjung,Female,Non-Economic,6, 7079
 Lamjung,Female,Non-Economic,7,  1156
 Lamjung,Female,Non-Economic,8,  1688
 Lamjung,Female,Non-Economic,9,  893
 Lamjung,Female,Non-Economic,10,1125
 Lamjung,Female,Non-Economic,11,  206
 Lamjung,Female,Non-Economic,12, 30454
 Tanahu,Male,Economic,0,47067
 Tanahu,Male,Economic,1, 325
 Tanahu,Male,Economic,2, 1126
 Tanahu,Male,Economic,3, 872
 Tanahu,Male,Economic,4,757
 Tanahu,Male,Economic,5, 512
 Tanahu,Male,Economic,6,  5105
 Tanahu,Male,Economic,7,978
 Tanahu,Male,Economic,8,2471
 Tanahu,Male,Economic,9,2265
 Tanahu,Male,Economic,10,2805
 Tanahu,Male,Economic,11,  820
 Tanahu,Male,Economic,12, 41868
 Tanahu,Male,Extended Economic,0,98187
 Tanahu,Male,Extended Economic,1,  1642
 Tanahu,Male,Extended Economic,2, 2600
 Tanahu,Male,Extended Economic,3,  1554
 Tanahu,Male,Extended Economic,4, 1070
 Tanahu,Male,Extended Economic,5, 166
 Tanahu,Male,Extended Economic,6,  1140
 Tanahu,Male,Extended Economic,7, 48
 Tanahu,Male,Extended Economic,8,66
 Tanahu,Male,Extended Economic,9,41
 Tanahu,Male,Extended Economic,10,33
 Tanahu,Male,Extended Economic,11, 8
 Tanahu,Male,Extended Economic,12, 416
 Tanahu,Male,Seeking job,0,  101999
 Tanahu,Male,Seeking job,1, 854
 Tanahu,Male,Seeking job,2,926
 Tanahu,Male,Seeking job,3, 480
 Tanahu,Male,Seeking job,4,449
 Tanahu,Male,Seeking job,5,  78
 Tanahu,Male,Seeking job,6, 803
 Tanahu,Male,Seeking job,7, 92
 Tanahu,Male,Seeking job,8,76
 Tanahu,Male,Seeking job,9,85
 Tanahu,Male,Seeking job,10,69
 Tanahu,Male,Seeking job,11, 0
 Tanahu,Male,Seeking job,12,  1063
 Tanahu,Male,Non-Economic,0,  49412
 Tanahu,Male,Non-Economic,1,  1243
 Tanahu,Male,Non-Economic,2, 2384
 Tanahu,Male,Non-Economic,3,  1784
 Tanahu,Male,Non-Economic,4, 1422
 Tanahu,Male,Non-Economic,5, 535
 Tanahu,Male,Non-Economic,6,  2467
 Tanahu,Male,Non-Economic,7,248
 Tanahu,Male,Non-Economic,8,  556
 Tanahu,Male,Non-Economic,9,  633
 Tanahu,Male,Non-Economic,10,1187
 Tanahu,Male,Non-Economic,11,  421
 Tanahu,Male,Non-Economic,12, 44681
 Tanahu,Female,Economic,0,  72618
 Tanahu,Female,Economic,1, 566
 Tanahu,Female,Economic,2, 2105
 Tanahu,Female,Economic,3,  2020
 Tanahu,Female,Economic,4, 2472
 Tanahu,Female,Economic,5,1481
 Tanahu,Female,Economic,6,15405
 Tanahu,Female,Economic,7,  3292
 Tanahu,Female,Economic,8,  6039
 Tanahu,Female,Economic,9,3840
 Tanahu,Female,Economic,10,3817
 Tanahu,Female,Economic,11,  560
 Tanahu,Female,Economic,12, 32153
 Tanahu,Female,Extended Economic,0, 131191
 Tanahu,Female,Extended Economic,1,  1987
 Tanahu,Female,Extended Economic,2, 4571
 Tanahu,Female,Extended Economic,3,  3769
 Tanahu,Female,Extended Economic,4, 1991
 Tanahu,Female,Extended Economic,5,  435
 Tanahu,Female,Extended Economic,6, 1683
 Tanahu,Female,Extended Economic,7, 132
 Tanahu,Female,Extended Economic,8, 167
 Tanahu,Female,Extended Economic,9,32
 Tanahu,Female,Extended Economic,10,64
 Tanahu,Female,Extended Economic,11, 8
 Tanahu,Female,Extended Economic,12, 337
 Tanahu,Female,Seeking job,0, 144518
 Tanahu,Female,Seeking job,1, 393
 Tanahu,Female,Seeking job,2,347
 Tanahu,Female,Seeking job,3, 307
 Tanahu,Female,Seeking job,4,106
 Tanahu,Female,Seeking job,5,59
 Tanahu,Female,Seeking job,6,259
 Tanahu,Female,Seeking job,7,  16
 Tanahu,Female,Seeking job,8,  66
 Tanahu,Female,Seeking job,9,16
 Tanahu,Female,Seeking job,10,17
 Tanahu,Female,Seeking job,11, 0
 Tanahu,Female,Seeking job,12, 263
 Tanahu,Female,Non-Economic,0, 36358
 Tanahu,Female,Non-Economic,1,  1464
 Tanahu,Female,Non-Economic,2, 6035
 Tanahu,Female,Non-Economic,3,  5506
 Tanahu,Female,Non-Economic,4, 5495
 Tanahu,Female,Non-Economic,5,2467
 Tanahu,Female,Non-Economic,6,11808
 Tanahu,Female,Non-Economic,7, 944
 Tanahu,Female,Non-Economic,8,  1664
 Tanahu,Female,Non-Economic,9,1490
 Tanahu,Female,Non-Economic,10,2103
 Tanahu,Female,Non-Economic,11,  598
 Tanahu,Female,Non-Economic,12, 70435
 Syangja,Male,Economic,0, 45000
 Syangja,Male,Economic,1,702
 Syangja,Male,Economic,2, 1545
 Syangja,Male,Economic,3, 908
 Syangja,Male,Economic,4, 1639
 Syangja,Male,Economic,5,  843
 Syangja,Male,Economic,6, 5669
 Syangja,Male,Economic,7,  2052
 Syangja,Male,Economic,8,  4892
 Syangja,Male,Economic,9,2976
 Syangja,Male,Economic,10, 5324
 Syangja,Male,Economic,11,1130
 Syangja,Male,Economic,12, 23455
 Syangja,Male,Extended Economic,0, 84223
 Syangja,Male,Extended Economic,1, 2517
 Syangja,Male,Extended Economic,2, 4372
 Syangja,Male,Extended Economic,3,  2128
 Syangja,Male,Extended Economic,4, 1657
 Syangja,Male,Extended Economic,5,  267
 Syangja,Male,Extended Economic,6,490
 Syangja,Male,Extended Economic,7,  90
 Syangja,Male,Extended Economic,8, 157
 Syangja,Male,Extended Economic,9,25
 Syangja,Male,Extended Economic,10, 76
 Syangja,Male,Extended Economic,11, 0
 Syangja,Male,Extended Economic,12, 136
 Syangja,Male,Seeking job,0, 88633
 Syangja,Male,Seeking job,1, 1217
 Syangja,Male,Seeking job,2, 2008
 Syangja,Male,Seeking job,3,  1090
 Syangja,Male,Seeking job,4,792
 Syangja,Male,Seeking job,5,  233
 Syangja,Male,Seeking job,6,766
 Syangja,Male,Seeking job,7,  71
 Syangja,Male,Seeking job,8, 278
 Syangja,Male,Seeking job,9,76
 Syangja,Male,Seeking job,10,179
 Syangja,Male,Seeking job,11,25
 Syangja,Male,Seeking job,12, 769
 Syangja,Male,Non-Economic,0,31254
 Syangja,Male,Non-Economic,1, 1948
 Syangja,Male,Non-Economic,2, 5598
 Syangja,Male,Non-Economic,3,  3070
 Syangja,Male,Non-Economic,4, 3475
 Syangja,Male,Non-Economic,5,1184
 Syangja,Male,Non-Economic,6, 2834
 Syangja,Male,Non-Economic,7, 370
 Syangja,Male,Non-Economic,8, 800
 Syangja,Male,Non-Economic,9,  666
 Syangja,Male,Non-Economic,10, 1544
 Syangja,Male,Non-Economic,11,  618
 Syangja,Male,Non-Economic,12, 42778
 Syangja,Female,Economic,0,  58389
 Syangja,Female,Economic,1, 973
 Syangja,Female,Economic,2, 2971
 Syangja,Female,Economic,3,  2766
 Syangja,Female,Economic,4, 4725
 Syangja,Female,Economic,5,3030
 Syangja,Female,Economic,6,18085
 Syangja,Female,Economic,7,  6587
 Syangja,Female,Economic,8, 12293
 Syangja,Female,Economic,9,5060
 Syangja,Female,Economic,10, 7687
 Syangja,Female,Economic,11,  624
 Syangja,Female,Economic,12, 12424
 Syangja,Female,Extended Economic,0, 109134
 Syangja,Female,Extended Economic,1,  5184
 Syangja,Female,Extended Economic,2,10081
 Syangja,Female,Extended Economic,3,  6242
 Syangja,Female,Extended Economic,4, 3280
 Syangja,Female,Extended Economic,5,  363
 Syangja,Female,Extended Economic,6,859
 Syangja,Female,Extended Economic,7, 113
 Syangja,Female,Extended Economic,8, 142
 Syangja,Female,Extended Economic,9,49
 Syangja,Female,Extended Economic,10, 65
 Syangja,Female,Extended Economic,11, 9
 Syangja,Female,Extended Economic,12,  92
 Syangja,Female,Seeking job,0, 133100
 Syangja,Female,Seeking job,1, 429
 Syangja,Female,Seeking job,2,777
 Syangja,Female,Seeking job,3, 405
 Syangja,Female,Seeking job,4,419
 Syangja,Female,Seeking job,5,72
 Syangja,Female,Seeking job,6,225
 Syangja,Female,Seeking job,7,  40
 Syangja,Female,Seeking job,8,  33
 Syangja,Female,Seeking job,9,25
 Syangja,Female,Seeking job,10,  9
 Syangja,Female,Seeking job,11, 0
 Syangja,Female,Seeking job,12,  80
 Syangja,Female,Non-Economic,0, 16014
 Syangja,Female,Non-Economic,1,  1740
 Syangja,Female,Non-Economic,2,11423
 Syangja,Female,Non-Economic,3,  8823
 Syangja,Female,Non-Economic,4,13332
 Syangja,Female,Non-Economic,5,5481
 Syangja,Female,Non-Economic,6,12311
 Syangja,Female,Non-Economic,7,  1969
 Syangja,Female,Non-Economic,8,  2879
 Syangja,Female,Non-Economic,9,1899
 Syangja,Female,Non-Economic,10, 2850
 Syangja,Female,Non-Economic,11,  768
 Syangja,Female,Non-Economic,12, 56123
 Kaski,Male,Economic,0,88496
 Kaski,Male,Economic,1, 178
 Kaski,Male,Economic,2,831
 Kaski,Male,Economic,3, 560
 Kaski,Male,Economic,4,724
 Kaski,Male,Economic,5, 357
 Kaski,Male,Economic,6,  3701
 Kaski,Male,Economic,7,  1108
 Kaski,Male,Economic,8,  2186
 Kaski,Male,Economic,9,1443
 Kaski,Male,Economic,10, 2305
 Kaski,Male,Economic,11,  776
 Kaski,Male,Economic,12, 80798
 Kaski,Male,Extended Economic,0,  177719
 Kaski,Male,Extended Economic,1,  1322
 Kaski,Male,Extended Economic,2, 1243
 Kaski,Male,Extended Economic,3, 883
 Kaski,Male,Extended Economic,4,553
 Kaski,Male,Extended Economic,5,  97
 Kaski,Male,Extended Economic,6, 516
 Kaski,Male,Extended Economic,7,  74
 Kaski,Male,Extended Economic,8,  90
 Kaski,Male,Extended Economic,9,17
 Kaski,Male,Extended Economic,10,114
 Kaski,Male,Extended Economic,11, 0
 Kaski,Male,Extended Economic,12, 837
 Kaski,Male,Seeking job,0,  174959
 Kaski,Male,Seeking job,1, 840
 Kaski,Male,Seeking job,2,997
 Kaski,Male,Seeking job,3, 597
 Kaski,Male,Seeking job,4,646
 Kaski,Male,Seeking job,5, 393
 Kaski,Male,Seeking job,6,  1073
 Kaski,Male,Seeking job,7, 163
 Kaski,Male,Seeking job,8, 171
 Kaski,Male,Seeking job,9,82
 Kaski,Male,Seeking job,10,196
 Kaski,Male,Seeking job,11, 8
 Kaski,Male,Seeking job,12,  3339
 Kaski,Male,Non-Economic,0,  89952
 Kaski,Male,Non-Economic,1, 588
 Kaski,Male,Non-Economic,2, 2383
 Kaski,Male,Non-Economic,3,  1218
 Kaski,Male,Non-Economic,4, 1395
 Kaski,Male,Non-Economic,5, 424
 Kaski,Male,Non-Economic,6,  2388
 Kaski,Male,Non-Economic,7, 274
 Kaski,Male,Non-Economic,8, 550
 Kaski,Male,Non-Economic,9,  420
 Kaski,Male,Non-Economic,10,727
 Kaski,Male,Non-Economic,11,  195
 Kaski,Male,Non-Economic,12, 82952
 Kaski,Female,Economic,0, 134994
 Kaski,Female,Economic,1, 355
 Kaski,Female,Economic,2, 1509
 Kaski,Female,Economic,3,  1490
 Kaski,Female,Economic,4, 1892
 Kaski,Female,Economic,5,  867
 Kaski,Female,Economic,6,10124
 Kaski,Female,Economic,7,  2582
 Kaski,Female,Economic,8,  5054
 Kaski,Female,Economic,9,2277
 Kaski,Female,Economic,10, 3522
 Kaski,Female,Economic,11,  736
 Kaski,Female,Economic,12, 46655
 Kaski,Female,Extended Economic,0, 202941
 Kaski,Female,Extended Economic,1,  1890
 Kaski,Female,Extended Economic,2, 2263
 Kaski,Female,Extended Economic,3,  1741
 Kaski,Female,Extended Economic,4, 1061
 Kaski,Female,Extended Economic,5,  234
 Kaski,Female,Extended Economic,6,906
 Kaski,Female,Extended Economic,7,  72
 Kaski,Female,Extended Economic,8, 187
 Kaski,Female,Extended Economic,9,66
 Kaski,Female,Extended Economic,10, 73
 Kaski,Female,Extended Economic,11, 8
 Kaski,Female,Extended Economic,12, 617
 Kaski,Female,Seeking job,0, 208646
 Kaski,Female,Seeking job,1, 727
 Kaski,Female,Seeking job,2,425
 Kaski,Female,Seeking job,3, 333
 Kaski,Female,Seeking job,4,318
 Kaski,Female,Seeking job,5,  128
 Kaski,Female,Seeking job,6,527
 Kaski,Female,Seeking job,7,  16
 Kaski,Female,Seeking job,8,  73
 Kaski,Female,Seeking job,9, 0
 Kaski,Female,Seeking job,10, 65
 Kaski,Female,Seeking job,11, 8
 Kaski,Female,Seeking job,12, 792
 Kaski,Female,Non-Economic,0, 50619
 Kaski,Female,Non-Economic,1, 856
 Kaski,Female,Non-Economic,2, 4140
 Kaski,Female,Non-Economic,3,  2961
 Kaski,Female,Non-Economic,4, 5250
 Kaski,Female,Non-Economic,5,2291
 Kaski,Female,Non-Economic,6, 8733
 Kaski,Female,Non-Economic,7, 972
 Kaski,Female,Non-Economic,8,  1719
 Kaski,Female,Non-Economic,9,1337
 Kaski,Female,Non-Economic,10, 1581
 Kaski,Female,Non-Economic,11,  340
 Kaski,Female,Non-Economic,12,131260
 Manang,Male,Economic,0,626
 Manang,Male,Economic,1, 4
 Manang,Male,Economic,2, 77
 Manang,Male,Economic,3,9
 Manang,Male,Economic,4,  14
 Manang,Male,Economic,5,  6
 Manang,Male,Economic,6, 129
 Manang,Male,Economic,7,26
 Manang,Male,Economic,8, 125
 Manang,Male,Economic,9,  41
 Manang,Male,Economic,10,  166
 Manang,Male,Economic,11,  10
 Manang,Male,Economic,12, 1377
 Manang,Male,Extended Economic,0, 2247
 Manang,Male,Extended Economic,1,11
 Manang,Male,Extended Economic,2,120
 Manang,Male,Extended Economic,3,  63
 Manang,Male,Extended Economic,4,  71
 Manang,Male,Extended Economic,5,  3
 Manang,Male,Extended Economic,6,  71
