District,Gender,Age-Group,Type of activity,Value
Syangja,Male,50 - 54 Years,Extended economic only,  18
Syangja,Male,50 - 54 Years,Seeking job only,0
Syangja,Male,50 - 54 Years,Non economic only, 412
Syangja,Male,50 - 54 Years,Activity not stated,  19
Syangja,Male,55 - 59 Years,Economic only,2055
Syangja,Male,55 - 59 Years,Extended economic only,0
Syangja,Male,55 - 59 Years,Seeking job only,8
Syangja,Male,55 - 59 Years,Non economic only, 492
Syangja,Male,55 - 59 Years,Activity not stated,  11
Syangja,Male,60 - 64 Years,Economic only,1602
Syangja,Male,60 - 64 Years,Extended economic only,2
Syangja,Male,60 - 64 Years,Seeking job only,0
Syangja,Male,60 - 64 Years,Non economic only, 674
Syangja,Male,60 - 64 Years,Activity not stated,  10
Syangja,Male,65 - 69 Years,Economic only,  818
Syangja,Male,65 - 69 Years,Extended economic only,0
Syangja,Male,65 - 69 Years,Seeking job only,0
Syangja,Male,65 - 69 Years,Non economic only,  1121
Syangja,Male,65 - 69 Years,Activity not stated,0
Syangja,Male,70 - 74 Years,Economic only,  587
Syangja,Male,70 - 74 Years,Extended economic only,8
Syangja,Male,70 - 74 Years,Seeking job only,0
Syangja,Male,70 - 74 Years,Non economic only,  1215
Syangja,Male,70 - 74 Years,Activity not stated,  16
Syangja,Male,75+ Years,Economic only,428
Syangja,Male,75+ Years,Extended economic only,  17
Syangja,Male,75+ Years,Seeking job only,0
Syangja,Male,75+ Years,Non economic only,  2569
Syangja,Male,75+ Years,Activity not stated,8
Syangja,Female,10 - 14 Years,Economic only,34
Syangja,Female,10 - 14 Years,Extended economic only,0
Syangja,Female,10 - 14 Years,Seeking job only,1
Syangja,Female,10 - 14 Years,Non economic only, 18596
Syangja,Female,10 - 14 Years,Activity not stated, 102
Syangja,Female,15 - 19 Years,Economic only,  551
Syangja,Female,15 - 19 Years,Extended economic only,8
Syangja,Female,15 - 19 Years,Seeking job only,3
Syangja,Female,15 - 19 Years,Non economic only, 14448
Syangja,Female,15 - 19 Years,Activity not stated,  54
Syangja,Female,20 - 24 Years,Economic only,1769
Syangja,Female,20 - 24 Years,Extended economic only,  12
Syangja,Female,20 - 24 Years,Seeking job only,  20
Syangja,Female,20 - 24 Years,Non economic only,  5296
Syangja,Female,20 - 24 Years,Activity not stated, 135
Syangja,Female,25 - 29 Years,Economic only,2128
Syangja,Female,25 - 29 Years,Extended economic only,  10
Syangja,Female,25 - 29 Years,Seeking job only,  35
Syangja,Female,25 - 29 Years,Non economic only,  2118
Syangja,Female,25 - 29 Years,Activity not stated,  47
Syangja,Female,30 - 34 Years,Economic only,1895
Syangja,Female,30 - 34 Years,Extended economic only,9
Syangja,Female,30 - 34 Years,Seeking job only,3
Syangja,Female,30 - 34 Years,Non economic only,  1350
Syangja,Female,30 - 34 Years,Activity not stated,  26
Syangja,Female,35 - 39 Years,Economic only,1562
Syangja,Female,35 - 39 Years,Extended economic only,9
Syangja,Female,35 - 39 Years,Seeking job only,8
Syangja,Female,35 - 39 Years,Non economic only,  1011
Syangja,Female,35 - 39 Years,Activity not stated,  22
Syangja,Female,40 - 44 Years,Economic only,1275
Syangja,Female,40 - 44 Years,Extended economic only,  10
Syangja,Female,40 - 44 Years,Seeking job only,0
Syangja,Female,40 - 44 Years,Non economic only, 864
Syangja,Female,40 - 44 Years,Activity not stated,  17
Syangja,Female,45 - 49 Years,Economic only,  907
Syangja,Female,45 - 49 Years,Extended economic only,9
Syangja,Female,45 - 49 Years,Seeking job only,0
Syangja,Female,45 - 49 Years,Non economic only, 922
Syangja,Female,45 - 49 Years,Activity not stated,  19
Syangja,Female,50 - 54 Years,Economic only,  704
Syangja,Female,50 - 54 Years,Extended economic only,9
Syangja,Female,50 - 54 Years,Seeking job only,0
Syangja,Female,50 - 54 Years,Non economic only,  1050
Syangja,Female,50 - 54 Years,Activity not stated,3
Syangja,Female,55 - 59 Years,Economic only,  646
Syangja,Female,55 - 59 Years,Extended economic only,9
Syangja,Female,55 - 59 Years,Seeking job only,0
Syangja,Female,55 - 59 Years,Non economic only,  1066
Syangja,Female,55 - 59 Years,Activity not stated,  25
Syangja,Female,60 - 64 Years,Economic only,  495
Syangja,Female,60 - 64 Years,Extended economic only,0
Syangja,Female,60 - 64 Years,Seeking job only,1
Syangja,Female,60 - 64 Years,Non economic only,  1839
Syangja,Female,60 - 64 Years,Activity not stated,9
Syangja,Female,65 - 69 Years,Economic only,  274
Syangja,Female,65 - 69 Years,Extended economic only,0
Syangja,Female,65 - 69 Years,Seeking job only,1
Syangja,Female,65 - 69 Years,Non economic only,  1771
Syangja,Female,65 - 69 Years,Activity not stated,  26
Syangja,Female,70 - 74 Years,Economic only,  121
Syangja,Female,70 - 74 Years,Extended economic only,0
Syangja,Female,70 - 74 Years,Seeking job only,8
Syangja,Female,70 - 74 Years,Non economic only,  2010
Syangja,Female,70 - 74 Years,Activity not stated,1
Syangja,Female,75+ Years,Economic only, 62
Syangja,Female,75+ Years,Extended economic only,8
Syangja,Female,75+ Years,Seeking job only,0
Syangja,Female,75+ Years,Non economic only,  3782
Syangja,Female,75+ Years,Activity not stated,  10
Kaski,Both Sexes,10 - 14 Years,Economic only,  397
Kaski,Both Sexes,10 - 14 Years,Extended economic only,8
Kaski,Both Sexes,10 - 14 Years,Seeking job only,  40
Kaski,Both Sexes,10 - 14 Years,Non economic only, 54154
Kaski,Both Sexes,10 - 14 Years,Activity not stated, 602
Kaski,Both Sexes,15 - 19 Years,Economic only,5572
Kaski,Both Sexes,15 - 19 Years,Extended economic only,  17
Kaski,Both Sexes,15 - 19 Years,Seeking job only, 386
Kaski,Both Sexes,15 - 19 Years,Non economic only, 47412
Kaski,Both Sexes,15 - 19 Years,Activity not stated, 389
Kaski,Both Sexes,20 - 24 Years,Economic only,  14732
Kaski,Both Sexes,20 - 24 Years,Extended economic only,  90
Kaski,Both Sexes,20 - 24 Years,Seeking job only, 941
Kaski,Both Sexes,20 - 24 Years,Non economic only, 30064
Kaski,Both Sexes,20 - 24 Years,Activity not stated, 346
Kaski,Both Sexes,25 - 29 Years,Economic only,  20340
Kaski,Both Sexes,25 - 29 Years,Extended economic only, 172
Kaski,Both Sexes,25 - 29 Years,Seeking job only,  1068
Kaski,Both Sexes,25 - 29 Years,Non economic only, 15415
Kaski,Both Sexes,25 - 29 Years,Activity not stated, 230
Kaski,Both Sexes,30 - 34 Years,Economic only,  18559
Kaski,Both Sexes,30 - 34 Years,Extended economic only, 235
Kaski,Both Sexes,30 - 34 Years,Seeking job only, 820
Kaski,Both Sexes,30 - 34 Years,Non economic only,  9858
Kaski,Both Sexes,30 - 34 Years,Activity not stated, 130
Kaski,Both Sexes,35 - 39 Years,Economic only,  17176
Kaski,Both Sexes,35 - 39 Years,Extended economic only, 292
Kaski,Both Sexes,35 - 39 Years,Seeking job only, 438
Kaski,Both Sexes,35 - 39 Years,Non economic only,  7374
Kaski,Both Sexes,35 - 39 Years,Activity not stated, 122
Kaski,Both Sexes,40 - 44 Years,Economic only,  14105
Kaski,Both Sexes,40 - 44 Years,Extended economic only, 171
Kaski,Both Sexes,40 - 44 Years,Seeking job only, 185
Kaski,Both Sexes,40 - 44 Years,Non economic only,  6083
Kaski,Both Sexes,40 - 44 Years,Activity not stated,  99
Kaski,Both Sexes,45 - 49 Years,Economic only,  11289
Kaski,Both Sexes,45 - 49 Years,Extended economic only, 106
Kaski,Both Sexes,45 - 49 Years,Seeking job only,  99
Kaski,Both Sexes,45 - 49 Years,Non economic only,  5384
Kaski,Both Sexes,45 - 49 Years,Activity not stated,  32
Kaski,Both Sexes,50 - 54 Years,Economic only,9996
Kaski,Both Sexes,50 - 54 Years,Extended economic only, 120
Kaski,Both Sexes,50 - 54 Years,Seeking job only,  32
Kaski,Both Sexes,50 - 54 Years,Non economic only,  5592
Kaski,Both Sexes,50 - 54 Years,Activity not stated,  48
Kaski,Both Sexes,55 - 59 Years,Economic only,6328
Kaski,Both Sexes,55 - 59 Years,Extended economic only,  39
Kaski,Both Sexes,55 - 59 Years,Seeking job only,  60
Kaski,Both Sexes,55 - 59 Years,Non economic only,  5437
Kaski,Both Sexes,55 - 59 Years,Activity not stated,  25
Kaski,Both Sexes,60 - 64 Years,Economic only,4163
Kaski,Both Sexes,60 - 64 Years,Extended economic only,  64
Kaski,Both Sexes,60 - 64 Years,Seeking job only,  22
Kaski,Both Sexes,60 - 64 Years,Non economic only,  6245
Kaski,Both Sexes,60 - 64 Years,Activity not stated,  53
Kaski,Both Sexes,65 - 69 Years,Economic only,2652
Kaski,Both Sexes,65 - 69 Years,Extended economic only,  31
Kaski,Both Sexes,65 - 69 Years,Seeking job only,  30
Kaski,Both Sexes,65 - 69 Years,Non economic only,  5598
Kaski,Both Sexes,65 - 69 Years,Activity not stated,  24
Kaski,Both Sexes,70 - 74 Years,Economic only,1405
Kaski,Both Sexes,70 - 74 Years,Extended economic only,  56
Kaski,Both Sexes,70 - 74 Years,Seeking job only,0
Kaski,Both Sexes,70 - 74 Years,Non economic only,  5502
Kaski,Both Sexes,70 - 74 Years,Activity not stated,  46
Kaski,Both Sexes,75+ Years,Economic only,740
Kaski,Both Sexes,75+ Years,Extended economic only,  49
Kaski,Both Sexes,75+ Years,Seeking job only,8
Kaski,Both Sexes,75+ Years,Non economic only, 10095
Kaski,Both Sexes,75+ Years,Activity not stated,  24
Kaski,Male,10 - 14 Years,Economic only,  300
Kaski,Male,10 - 14 Years,Extended economic only,8
Kaski,Male,10 - 14 Years,Seeking job only,  32
Kaski,Male,10 - 14 Years,Non economic only, 27512
Kaski,Male,10 - 14 Years,Activity not stated, 251
Kaski,Male,15 - 19 Years,Economic only,3715
Kaski,Male,15 - 19 Years,Extended economic only,8
Kaski,Male,15 - 19 Years,Seeking job only, 328
Kaski,Male,15 - 19 Years,Non economic only, 23727
Kaski,Male,15 - 19 Years,Activity not stated, 206
Kaski,Male,20 - 24 Years,Economic only,8475
Kaski,Male,20 - 24 Years,Extended economic only,  25
Kaski,Male,20 - 24 Years,Seeking job only, 727
Kaski,Male,20 - 24 Years,Non economic only, 12030
Kaski,Male,20 - 24 Years,Activity not stated, 173
Kaski,Male,25 - 29 Years,Economic only,  12196
Kaski,Male,25 - 29 Years,Extended economic only,  82
Kaski,Male,25 - 29 Years,Seeking job only, 863
Kaski,Male,25 - 29 Years,Non economic only,  2937
Kaski,Male,25 - 29 Years,Activity not stated,  99
Kaski,Male,30 - 34 Years,Economic only,  11434
Kaski,Male,30 - 34 Years,Extended economic only, 123
Kaski,Male,30 - 34 Years,Seeking job only, 708
Kaski,Male,30 - 34 Years,Non economic only,  1268
Kaski,Male,30 - 34 Years,Activity not stated,  50
Kaski,Male,35 - 39 Years,Economic only,  10585
Kaski,Male,35 - 39 Years,Extended economic only, 154
Kaski,Male,35 - 39 Years,Seeking job only, 397
Kaski,Male,35 - 39 Years,Non economic only, 811
Kaski,Male,35 - 39 Years,Activity not stated,  73
Kaski,Male,40 - 44 Years,Economic only,8899
Kaski,Male,40 - 44 Years,Extended economic only, 107
Kaski,Male,40 - 44 Years,Seeking job only, 145
Kaski,Male,40 - 44 Years,Non economic only, 980
Kaski,Male,40 - 44 Years,Activity not stated,  49
Kaski,Male,45 - 49 Years,Economic only,7490
Kaski,Male,45 - 49 Years,Extended economic only,  82
Kaski,Male,45 - 49 Years,Seeking job only,  67
Kaski,Male,45 - 49 Years,Non economic only, 975
Kaski,Male,45 - 49 Years,Activity not stated,  16
Kaski,Male,50 - 54 Years,Economic only,6764
Kaski,Male,50 - 54 Years,Extended economic only,  72
Kaski,Male,50 - 54 Years,Seeking job only,  24
Kaski,Male,50 - 54 Years,Non economic only,  1214
Kaski,Male,50 - 54 Years,Activity not stated,  16
Kaski,Male,55 - 59 Years,Economic only,4449
Kaski,Male,55 - 59 Years,Extended economic only,  30
Kaski,Male,55 - 59 Years,Seeking job only,  16
Kaski,Male,55 - 59 Years,Non economic only,  1492
Kaski,Male,55 - 59 Years,Activity not stated,8
Kaski,Male,60 - 64 Years,Economic only,2932
Kaski,Male,60 - 64 Years,Extended economic only,  49
Kaski,Male,60 - 64 Years,Seeking job only,8
Kaski,Male,60 - 64 Years,Non economic only,  1924
Kaski,Male,60 - 64 Years,Activity not stated,  24
Kaski,Male,65 - 69 Years,Economic only,1887
Kaski,Male,65 - 69 Years,Extended economic only,  23
Kaski,Male,65 - 69 Years,Seeking job only,  22
Kaski,Male,65 - 69 Years,Non economic only,  1879
Kaski,Male,65 - 69 Years,Activity not stated,0
Kaski,Male,70 - 74 Years,Economic only,1086
Kaski,Male,70 - 74 Years,Extended economic only,  48
Kaski,Male,70 - 74 Years,Seeking job only,0
Kaski,Male,70 - 74 Years,Non economic only,  2043
Kaski,Male,70 - 74 Years,Activity not stated,8
Kaski,Male,75+ Years,Economic only,585
Kaski,Male,75+ Years,Extended economic only,  25
Kaski,Male,75+ Years,Seeking job only,0
Kaski,Male,75+ Years,Non economic only,  4161
Kaski,Male,75+ Years,Activity not stated,  24
Kaski,Female,10 - 14 Years,Economic only,98
Kaski,Female,10 - 14 Years,Extended economic only,0
Kaski,Female,10 - 14 Years,Seeking job only,8
Kaski,Female,10 - 14 Years,Non economic only, 26642
Kaski,Female,10 - 14 Years,Activity not stated, 351
Kaski,Female,15 - 19 Years,Economic only,1857
Kaski,Female,15 - 19 Years,Extended economic only,9
Kaski,Female,15 - 19 Years,Seeking job only,  59
Kaski,Female,15 - 19 Years,Non economic only, 23685
Kaski,Female,15 - 19 Years,Activity not stated, 183
Kaski,Female,20 - 24 Years,Economic only,6256
Kaski,Female,20 - 24 Years,Extended economic only,  66
Kaski,Female,20 - 24 Years,Seeking job only, 215
Kaski,Female,20 - 24 Years,Non economic only, 18034
Kaski,Female,20 - 24 Years,Activity not stated, 173
Kaski,Female,25 - 29 Years,Economic only,8143
Kaski,Female,25 - 29 Years,Extended economic only,  90
Kaski,Female,25 - 29 Years,Seeking job only, 205
Kaski,Female,25 - 29 Years,Non economic only, 12478
Kaski,Female,25 - 29 Years,Activity not stated, 131
Kaski,Female,30 - 34 Years,Economic only,7125
Kaski,Female,30 - 34 Years,Extended economic only, 112
Kaski,Female,30 - 34 Years,Seeking job only, 112
Kaski,Female,30 - 34 Years,Non economic only,  8590
Kaski,Female,30 - 34 Years,Activity not stated,  80
Kaski,Female,35 - 39 Years,Economic only,6591
Kaski,Female,35 - 39 Years,Extended economic only, 139
Kaski,Female,35 - 39 Years,Seeking job only,  41
Kaski,Female,35 - 39 Years,Non economic only,  6563
Kaski,Female,35 - 39 Years,Activity not stated,  49
Kaski,Female,40 - 44 Years,Economic only,5206
Kaski,Female,40 - 44 Years,Extended economic only,  65
Kaski,Female,40 - 44 Years,Seeking job only,  40
Kaski,Female,40 - 44 Years,Non economic only,  5103
Kaski,Female,40 - 44 Years,Activity not stated,  49
Kaski,Female,45 - 49 Years,Economic only,3799
Kaski,Female,45 - 49 Years,Extended economic only,  24
Kaski,Female,45 - 49 Years,Seeking job only,  32
Kaski,Female,45 - 49 Years,Non economic only,  4409
Kaski,Female,45 - 49 Years,Activity not stated,  16
Kaski,Female,50 - 54 Years,Economic only,3231
Kaski,Female,50 - 54 Years,Extended economic only,  49
Kaski,Female,50 - 54 Years,Seeking job only,8
Kaski,Female,50 - 54 Years,Non economic only,  4378
Kaski,Female,50 - 54 Years,Activity not stated,  32
Kaski,Female,55 - 59 Years,Economic only,1879
Kaski,Female,55 - 59 Years,Extended economic only,9
Kaski,Female,55 - 59 Years,Seeking job only,  43
Kaski,Female,55 - 59 Years,Non economic only,  3944
Kaski,Female,55 - 59 Years,Activity not stated,  16
Kaski,Female,60 - 64 Years,Economic only,1231
Kaski,Female,60 - 64 Years,Extended economic only,  15
Kaski,Female,60 - 64 Years,Seeking job only,  14
Kaski,Female,60 - 64 Years,Non economic only,  4321
Kaski,Female,60 - 64 Years,Activity not stated,  29
Kaski,Female,65 - 69 Years,Economic only,  765
Kaski,Female,65 - 69 Years,Extended economic only,8
Kaski,Female,65 - 69 Years,Seeking job only,8
Kaski,Female,65 - 69 Years,Non economic only,  3719
Kaski,Female,65 - 69 Years,Activity not stated,  24
Kaski,Female,70 - 74 Years,Economic only,  319
Kaski,Female,70 - 74 Years,Extended economic only,8
Kaski,Female,70 - 74 Years,Seeking job only,0
Kaski,Female,70 - 74 Years,Non economic only,  3460
Kaski,Female,70 - 74 Years,Activity not stated,  38
Kaski,Female,75+ Years,Economic only,155
Kaski,Female,75+ Years,Extended economic only,  24
Kaski,Female,75+ Years,Seeking job only,8
Kaski,Female,75+ Years,Non economic only,  5935
Kaski,Female,75+ Years,Activity not stated,0
Manang,Both Sexes,10 - 14 Years,Economic only,14
Manang,Both Sexes,10 - 14 Years,Extended economic only,  0
Manang,Both Sexes,10 - 14 Years,Seeking job only,0
Manang,Both Sexes,10 - 14 Years,Non economic only, 437
Manang,Both Sexes,10 - 14 Years,Activity not stated, 0
Manang,Both Sexes,15 - 19 Years,Economic only,95
Manang,Both Sexes,15 - 19 Years,Extended economic only,  0
Manang,Both Sexes,15 - 19 Years,Seeking job only,0
Manang,Both Sexes,15 - 19 Years,Non economic only, 312
Manang,Both Sexes,15 - 19 Years,Activity not stated, 0
Manang,Both Sexes,20 - 24 Years,Economic only,  217
Manang,Both Sexes,20 - 24 Years,Extended economic only,  2
Manang,Both Sexes,20 - 24 Years,Seeking job only,5
Manang,Both Sexes,20 - 24 Years,Non economic only, 159
Manang,Both Sexes,20 - 24 Years,Activity not stated, 0
Manang,Both Sexes,25 - 29 Years,Economic only,  310
Manang,Both Sexes,25 - 29 Years,Extended economic only,  0
Manang,Both Sexes,25 - 29 Years,Seeking job only,7
Manang,Both Sexes,25 - 29 Years,Non economic only,  62
Manang,Both Sexes,25 - 29 Years,Activity not stated, 0
Manang,Both Sexes,30 - 34 Years,Economic only,  257
Manang,Both Sexes,30 - 34 Years,Extended economic only,  2
Manang,Both Sexes,30 - 34 Years,Seeking job only,2
Manang,Both Sexes,30 - 34 Years,Non economic only,  31
Manang,Both Sexes,30 - 34 Years,Activity not stated, 0
Manang,Both Sexes,35 - 39 Years,Economic only,  247
Manang,Both Sexes,35 - 39 Years,Extended economic only,  2
Manang,Both Sexes,35 - 39 Years,Seeking job only,1
Manang,Both Sexes,35 - 39 Years,Non economic only,  19
Manang,Both Sexes,35 - 39 Years,Activity not stated, 0
Manang,Both Sexes,40 - 44 Years,Economic only,  242
Manang,Both Sexes,40 - 44 Years,Extended economic only,  1
Manang,Both Sexes,40 - 44 Years,Seeking job only,0
Manang,Both Sexes,40 - 44 Years,Non economic only,  14
Manang,Both Sexes,40 - 44 Years,Activity not stated, 0
Manang,Both Sexes,45 - 49 Years,Economic only,  203
Manang,Both Sexes,45 - 49 Years,Extended economic only,  0
Manang,Both Sexes,45 - 49 Years,Seeking job only,0
Manang,Both Sexes,45 - 49 Years,Non economic only,  16
Manang,Both Sexes,45 - 49 Years,Activity not stated, 0
Manang,Both Sexes,50 - 54 Years,Economic only,  183
Manang,Both Sexes,50 - 54 Years,Extended economic only,  0
Manang,Both Sexes,50 - 54 Years,Seeking job only,0
Manang,Both Sexes,50 - 54 Years,Non economic only,  17
Manang,Both Sexes,50 - 54 Years,Activity not stated, 0
Manang,Both Sexes,55 - 59 Years,Economic only,  115
Manang,Both Sexes,55 - 59 Years,Extended economic only,  3
Manang,Both Sexes,55 - 59 Years,Seeking job only,0
Manang,Both Sexes,55 - 59 Years,Non economic only,  16
Manang,Both Sexes,55 - 59 Years,Activity not stated, 0
Manang,Both Sexes,60 - 64 Years,Economic only,79
Manang,Both Sexes,60 - 64 Years,Extended economic only,  0
Manang,Both Sexes,60 - 64 Years,Seeking job only,0
Manang,Both Sexes,60 - 64 Years,Non economic only,  31
Manang,Both Sexes,60 - 64 Years,Activity not stated, 0
Manang,Both Sexes,65 - 69 Years,Economic only,59
Manang,Both Sexes,65 - 69 Years,Extended economic only,  0
Manang,Both Sexes,65 - 69 Years,Seeking job only,0
Manang,Both Sexes,65 - 69 Years,Non economic only,  34
Manang,Both Sexes,65 - 69 Years,Activity not stated, 0
Manang,Both Sexes,70 - 74 Years,Economic only,23
Manang,Both Sexes,70 - 74 Years,Extended economic only,  1
Manang,Both Sexes,70 - 74 Years,Seeking job only,1
Manang,Both Sexes,70 - 74 Years,Non economic only,  55
Manang,Both Sexes,70 - 74 Years,Activity not stated, 0
Manang,Both Sexes,75+ Years,Economic only,  6
Manang,Both Sexes,75+ Years,Extended economic only,  0
Manang,Both Sexes,75+ Years,Seeking job only,0
Manang,Both Sexes,75+ Years,Non economic only, 112
Manang,Both Sexes,75+ Years,Activity not stated, 0
Manang,Male,10 - 14 Years,Economic only,10
Manang,Male,10 - 14 Years,Extended economic only,  0
Manang,Male,10 - 14 Years,Seeking job only,0
Manang,Male,10 - 14 Years,Non economic only, 205
Manang,Male,10 - 14 Years,Activity not stated, 0
Manang,Male,15 - 19 Years,Economic only,66
Manang,Male,15 - 19 Years,Extended economic only,  0
Manang,Male,15 - 19 Years,Seeking job only,0
Manang,Male,15 - 19 Years,Non economic only, 143
Manang,Male,15 - 19 Years,Activity not stated, 0
Manang,Male,20 - 24 Years,Economic only,  133
Manang,Male,20 - 24 Years,Extended economic only,  2
Manang,Male,20 - 24 Years,Seeking job only,3
Manang,Male,20 - 24 Years,Non economic only,  77
Manang,Male,20 - 24 Years,Activity not stated, 0
Manang,Male,25 - 29 Years,Economic only,  197
Manang,Male,25 - 29 Years,Extended economic only,  0
Manang,Male,25 - 29 Years,Seeking job only,6
Manang,Male,25 - 29 Years,Non economic only,  28
Manang,Male,25 - 29 Years,Activity not stated, 0
Manang,Male,30 - 34 Years,Economic only,  160
Manang,Male,30 - 34 Years,Extended economic only,  2
Manang,Male,30 - 34 Years,Seeking job only,2
Manang,Male,30 - 34 Years,Non economic only,  17
Manang,Male,30 - 34 Years,Activity not stated, 0
Manang,Male,35 - 39 Years,Economic only,  162
Manang,Male,35 - 39 Years,Extended economic only,  1
Manang,Male,35 - 39 Years,Seeking job only,1
Manang,Male,35 - 39 Years,Non economic only,7
Manang,Male,35 - 39 Years,Activity not stated, 0
Manang,Male,40 - 44 Years,Economic only,  171
Manang,Male,40 - 44 Years,Extended economic only,  1
Manang,Male,40 - 44 Years,Seeking job only,0
Manang,Male,40 - 44 Years,Non economic only,3
Manang,Male,40 - 44 Years,Activity not stated, 0
Manang,Male,45 - 49 Years,Economic only,  142
Manang,Male,45 - 49 Years,Extended economic only,  0
Manang,Male,45 - 49 Years,Seeking job only,0
Manang,Male,45 - 49 Years,Non economic only,4
Manang,Male,45 - 49 Years,Activity not stated, 0
Manang,Male,50 - 54 Years,Economic only,  140
Manang,Male,50 - 54 Years,Extended economic only,  0
Manang,Male,50 - 54 Years,Seeking job only,0
Manang,Male,50 - 54 Years,Non economic only,7
Manang,Male,50 - 54 Years,Activity not stated, 0
Manang,Male,55 - 59 Years,Economic only,81
Manang,Male,55 - 59 Years,Extended economic only,  3
Manang,Male,55 - 59 Years,Seeking job only,0
Manang,Male,55 - 59 Years,Non economic only,9
Manang,Male,55 - 59 Years,Activity not stated, 0
Manang,Male,60 - 64 Years,Economic only,52
Manang,Male,60 - 64 Years,Extended economic only,  0
Manang,Male,60 - 64 Years,Seeking job only,0
Manang,Male,60 - 64 Years,Non economic only,8
Manang,Male,60 - 64 Years,Activity not stated, 0
Manang,Male,65 - 69 Years,Economic only,41
Manang,Male,65 - 69 Years,Extended economic only,  0
Manang,Male,65 - 69 Years,Seeking job only,0
Manang,Male,65 - 69 Years,Non economic only,  13
Manang,Male,65 - 69 Years,Activity not stated, 0
Manang,Male,70 - 74 Years,Economic only,17
Manang,Male,70 - 74 Years,Extended economic only,  1
Manang,Male,70 - 74 Years,Seeking job only,0
Manang,Male,70 - 74 Years,Non economic only,  17
Manang,Male,70 - 74 Years,Activity not stated, 0
Manang,Male,75+ Years,Economic only,  5
Manang,Male,75+ Years,Extended economic only,  0
Manang,Male,75+ Years,Seeking job only,0
Manang,Male,75+ Years,Non economic only,  45
Manang,Male,75+ Years,Activity not stated, 0
Manang,Female,10 - 14 Years,Economic only, 4
Manang,Female,10 - 14 Years,Extended economic only, 0
Manang,Female,10 - 14 Years,Seeking job only, 0
Manang,Female,10 - 14 Years,Non economic only, 232
Manang,Female,10 - 14 Years,Activity not stated, 0
Manang,Female,15 - 19 Years,Economic only,29
Manang,Female,15 - 19 Years,Extended economic only, 0
Manang,Female,15 - 19 Years,Seeking job only, 0
Manang,Female,15 - 19 Years,Non economic only, 169
Manang,Female,15 - 19 Years,Activity not stated, 0
Manang,Female,20 - 24 Years,Economic only,84
Manang,Female,20 - 24 Years,Extended economic only, 0
Manang,Female,20 - 24 Years,Seeking job only, 2
Manang,Female,20 - 24 Years,Non economic only,  82
Manang,Female,20 - 24 Years,Activity not stated, 0
Manang,Female,25 - 29 Years,Economic only,  113
Manang,Female,25 - 29 Years,Extended economic only, 0
Manang,Female,25 - 29 Years,Seeking job only, 1
Manang,Female,25 - 29 Years,Non economic only,  34
Manang,Female,25 - 29 Years,Activity not stated, 0
Manang,Female,30 - 34 Years,Economic only,97
Manang,Female,30 - 34 Years,Extended economic only, 0
Manang,Female,30 - 34 Years,Seeking job only, 0
Manang,Female,30 - 34 Years,Non economic only,  14
Manang,Female,30 - 34 Years,Activity not stated, 0
Manang,Female,35 - 39 Years,Economic only,85
Manang,Female,35 - 39 Years,Extended economic only, 1
Manang,Female,35 - 39 Years,Seeking job only, 0
Manang,Female,35 - 39 Years,Non economic only,  12
Manang,Female,35 - 39 Years,Activity not stated, 0
Manang,Female,40 - 44 Years,Economic only,71
Manang,Female,40 - 44 Years,Extended economic only, 0
Manang,Female,40 - 44 Years,Seeking job only, 0
Manang,Female,40 - 44 Years,Non economic only,  11
Manang,Female,40 - 44 Years,Activity not stated, 0
Manang,Female,45 - 49 Years,Economic only,61
Manang,Female,45 - 49 Years,Extended economic only, 0
Manang,Female,45 - 49 Years,Seeking job only, 0
Manang,Female,45 - 49 Years,Non economic only,  12
Manang,Female,45 - 49 Years,Activity not stated, 0
Manang,Female,50 - 54 Years,Economic only,43
Manang,Female,50 - 54 Years,Extended economic only, 0
Manang,Female,50 - 54 Years,Seeking job only, 0
Manang,Female,50 - 54 Years,Non economic only,  10
Manang,Female,50 - 54 Years,Activity not stated, 0
Manang,Female,55 - 59 Years,Economic only,34
Manang,Female,55 - 59 Years,Extended economic only, 0
Manang,Female,55 - 59 Years,Seeking job only, 0
Manang,Female,55 - 59 Years,Non economic only,7
Manang,Female,55 - 59 Years,Activity not stated, 0
Manang,Female,60 - 64 Years,Economic only,27
Manang,Female,60 - 64 Years,Extended economic only, 0
Manang,Female,60 - 64 Years,Seeking job only, 0
Manang,Female,60 - 64 Years,Non economic only,  23
Manang,Female,60 - 64 Years,Activity not stated, 0
Manang,Female,65 - 69 Years,Economic only,18
Manang,Female,65 - 69 Years,Extended economic only, 0
Manang,Female,65 - 69 Years,Seeking job only, 0
Manang,Female,65 - 69 Years,Non economic only,  21
Manang,Female,65 - 69 Years,Activity not stated, 0
Manang,Female,70 - 74 Years,Economic only, 6
Manang,Female,70 - 74 Years,Extended economic only, 0
Manang,Female,70 - 74 Years,Seeking job only, 1
Manang,Female,70 - 74 Years,Non economic only,  38
Manang,Female,70 - 74 Years,Activity not stated, 0
Manang,Female,75+ Years,Economic only,  1
Manang,Female,75+ Years,Extended economic only, 0
Manang,Female,75+ Years,Seeking job only, 0
Manang,Female,75+ Years,Non economic only,  67
Manang,Female,75+ Years,Activity not stated, 0
Mustang,Both Sexes,10 - 14 Years,Economic only,38
Mustang,Both Sexes,10 - 14 Years,Extended economic only,  1
Mustang,Both Sexes,10 - 14 Years,Seeking job only,0
