District,Gender,Age-Group,Type of activity performed 1,Month,Value
Rupandehi,Female,10 - 14 Years,Seeking economic job,6-7 months, 8
Rupandehi,Female,10 - 14 Years,Seeking economic job,8+ months, 48
Rupandehi,Female,10 - 14 Years,Non-economic work,< 3 months, 96
Rupandehi,Female,10 - 14 Years,Non-economic work,3 - 5 months, 337
Rupandehi,Female,10 - 14 Years,Non-economic work,6 - 7 months,393
Rupandehi,Female,10 - 14 Years,Non-economic work,8+ months,54080
Rupandehi,Female,10 - 14 Years,Activity not stated,,1103
Rupandehi,Female,15 - 19 Years,Any work total person,,49685
Rupandehi,Female,15 - 19 Years,Economic,< 3 months, 682
Rupandehi,Female,15 - 19 Years,Economic,3 - 5 months,1469
Rupandehi,Female,15 - 19 Years,Economic,6 - 7 months,2046
Rupandehi,Female,15 - 19 Years,Economic,8+ months, 3990
Rupandehi,Female,15 - 19 Years,Extended economic,< 3 months, 665
Rupandehi,Female,15 - 19 Years,Extended economic,3 - 5 months,  803
Rupandehi,Female,15 - 19 Years,Extended economic,6 - 7 months,219
Rupandehi,Female,15 - 19 Years,Extended economic,8+ months, 178
Rupandehi,Female,15 - 19 Years,Seeking economic job,< 3 months,170
Rupandehi,Female,15 - 19 Years,Seeking economic job,3-5 months,72
Rupandehi,Female,15 - 19 Years,Seeking economic job,6-7 months,  106
Rupandehi,Female,15 - 19 Years,Seeking economic job,8+ months,233
Rupandehi,Female,15 - 19 Years,Non-economic work,< 3 months,649
Rupandehi,Female,15 - 19 Years,Non-economic work,3 - 5 months,1535
Rupandehi,Female,15 - 19 Years,Non-economic work,6 - 7 months,  1810
Rupandehi,Female,15 - 19 Years,Non-economic work,8+ months,41970
Rupandehi,Female,15 - 19 Years,Activity not stated,, 586
Rupandehi,Female,20 - 24 Years,Any work total person,,45438
Rupandehi,Female,20 - 24 Years,Economic,< 3 months, 943
Rupandehi,Female,20 - 24 Years,Economic,3 - 5 months,2189
Rupandehi,Female,20 - 24 Years,Economic,6 - 7 months,3856
Rupandehi,Female,20 - 24 Years,Economic,8+ months, 8697
Rupandehi,Female,20 - 24 Years,Extended economic,< 3 months,1094
Rupandehi,Female,20 - 24 Years,Extended economic,3 - 5 months, 1359
Rupandehi,Female,20 - 24 Years,Extended economic,6 - 7 months,289
Rupandehi,Female,20 - 24 Years,Extended economic,8+ months, 248
Rupandehi,Female,20 - 24 Years,Seeking economic job,< 3 months,183
Rupandehi,Female,20 - 24 Years,Seeking economic job,3-5 months,  200
Rupandehi,Female,20 - 24 Years,Seeking economic job,6-7 months,  174
Rupandehi,Female,20 - 24 Years,Seeking economic job,8+ months,168
Rupandehi,Female,20 - 24 Years,Non-economic work,< 3 months,950
Rupandehi,Female,20 - 24 Years,Non-economic work,3 - 5 months,3075
Rupandehi,Female,20 - 24 Years,Non-economic work,6 - 7 months,  3515
Rupandehi,Female,20 - 24 Years,Non-economic work,8+ months,30454
Rupandehi,Female,20 - 24 Years,Activity not stated,, 697
Rupandehi,Female,25 - 29 Years,Any work total person,,41399
Rupandehi,Female,25 - 29 Years,Economic,< 3 months, 647
Rupandehi,Female,25 - 29 Years,Economic,3 - 5 months,2725
Rupandehi,Female,25 - 29 Years,Economic,6 - 7 months,4626
Rupandehi,Female,25 - 29 Years,Economic,8+ months,10997
Rupandehi,Female,25 - 29 Years,Extended economic,< 3 months,1618
Rupandehi,Female,25 - 29 Years,Extended economic,3 - 5 months, 1528
Rupandehi,Female,25 - 29 Years,Extended economic,6 - 7 months,404
Rupandehi,Female,25 - 29 Years,Extended economic,8+ months, 267
Rupandehi,Female,25 - 29 Years,Seeking economic job,< 3 months,202
Rupandehi,Female,25 - 29 Years,Seeking economic job,3-5 months,  129
Rupandehi,Female,25 - 29 Years,Seeking economic job,6-7 months,81
Rupandehi,Female,25 - 29 Years,Seeking economic job,8+ months,234
Rupandehi,Female,25 - 29 Years,Non-economic work,< 3 months,  1431
Rupandehi,Female,25 - 29 Years,Non-economic work,3 - 5 months,3720
Rupandehi,Female,25 - 29 Years,Non-economic work,6 - 7 months,  3704
Rupandehi,Female,25 - 29 Years,Non-economic work,8+ months,23812
Rupandehi,Female,25 - 29 Years,Activity not stated,, 315
Rupandehi,Female,30 - 34 Years,Any work total person,,33818
Rupandehi,Female,30 - 34 Years,Economic,< 3 months, 644
Rupandehi,Female,30 - 34 Years,Economic,3 - 5 months,2312
Rupandehi,Female,30 - 34 Years,Economic,6 - 7 months,4215
Rupandehi,Female,30 - 34 Years,Economic,8+ months, 9961
Rupandehi,Female,30 - 34 Years,Extended economic,< 3 months,1231
Rupandehi,Female,30 - 34 Years,Extended economic,3 - 5 months, 1226
Rupandehi,Female,30 - 34 Years,Extended economic,6 - 7 months,220
Rupandehi,Female,30 - 34 Years,Extended economic,8+ months, 309
Rupandehi,Female,30 - 34 Years,Seeking economic job,< 3 months,154
Rupandehi,Female,30 - 34 Years,Seeking economic job,3-5 months,  105
Rupandehi,Female,30 - 34 Years,Seeking economic job,6-7 months,98
Rupandehi,Female,30 - 34 Years,Seeking economic job,8+ months,139
Rupandehi,Female,30 - 34 Years,Non-economic work,< 3 months,  1168
Rupandehi,Female,30 - 34 Years,Non-economic work,3 - 5 months,3416
Rupandehi,Female,30 - 34 Years,Non-economic work,6 - 7 months,  3389
Rupandehi,Female,30 - 34 Years,Non-economic work,8+ months,17961
Rupandehi,Female,30 - 34 Years,Activity not stated,, 195
Rupandehi,Female,35 - 39 Years,Any work total person,,28822
Rupandehi,Female,35 - 39 Years,Economic,< 3 months, 660
Rupandehi,Female,35 - 39 Years,Economic,3 - 5 months,2030
Rupandehi,Female,35 - 39 Years,Economic,6 - 7 months,3733
Rupandehi,Female,35 - 39 Years,Economic,8+ months, 9143
Rupandehi,Female,35 - 39 Years,Extended economic,< 3 months,1172
Rupandehi,Female,35 - 39 Years,Extended economic,3 - 5 months,  994
Rupandehi,Female,35 - 39 Years,Extended economic,6 - 7 months,293
Rupandehi,Female,35 - 39 Years,Extended economic,8+ months, 274
Rupandehi,Female,35 - 39 Years,Seeking economic job,< 3 months,121
Rupandehi,Female,35 - 39 Years,Seeking economic job,3-5 months,  111
Rupandehi,Female,35 - 39 Years,Seeking economic job,6-7 months,57
Rupandehi,Female,35 - 39 Years,Seeking economic job,8+ months, 89
Rupandehi,Female,35 - 39 Years,Non-economic work,< 3 months,  1140
Rupandehi,Female,35 - 39 Years,Non-economic work,3 - 5 months,2982
Rupandehi,Female,35 - 39 Years,Non-economic work,6 - 7 months,  3160
Rupandehi,Female,35 - 39 Years,Non-economic work,8+ months,14462
Rupandehi,Female,35 - 39 Years,Activity not stated,, 226
Rupandehi,Female,40 - 44 Years,Any work total person,,23513
Rupandehi,Female,40 - 44 Years,Economic,< 3 months, 553
Rupandehi,Female,40 - 44 Years,Economic,3 - 5 months,1858
Rupandehi,Female,40 - 44 Years,Economic,6 - 7 months,3364
Rupandehi,Female,40 - 44 Years,Economic,8+ months, 7589
Rupandehi,Female,40 - 44 Years,Extended economic,< 3 months, 892
Rupandehi,Female,40 - 44 Years,Extended economic,3 - 5 months, 1017
Rupandehi,Female,40 - 44 Years,Extended economic,6 - 7 months,155
Rupandehi,Female,40 - 44 Years,Extended economic,8+ months, 187
Rupandehi,Female,40 - 44 Years,Seeking economic job,< 3 months,122
Rupandehi,Female,40 - 44 Years,Seeking economic job,3-5 months,81
Rupandehi,Female,40 - 44 Years,Seeking economic job,6-7 months,49
Rupandehi,Female,40 - 44 Years,Seeking economic job,8+ months, 57
Rupandehi,Female,40 - 44 Years,Non-economic work,< 3 months,943
Rupandehi,Female,40 - 44 Years,Non-economic work,3 - 5 months,2320
Rupandehi,Female,40 - 44 Years,Non-economic work,6 - 7 months,  2625
Rupandehi,Female,40 - 44 Years,Non-economic work,8+ months,11526
Rupandehi,Female,40 - 44 Years,Activity not stated,, 132
Rupandehi,Female,45 - 49 Years,Any work total person,,18861
Rupandehi,Female,45 - 49 Years,Economic,< 3 months, 333
Rupandehi,Female,45 - 49 Years,Economic,3 - 5 months,1265
Rupandehi,Female,45 - 49 Years,Economic,6 - 7 months,2321
Rupandehi,Female,45 - 49 Years,Economic,8+ months, 6405
Rupandehi,Female,45 - 49 Years,Extended economic,< 3 months, 646
Rupandehi,Female,45 - 49 Years,Extended economic,3 - 5 months,  696
Rupandehi,Female,45 - 49 Years,Extended economic,6 - 7 months,106
Rupandehi,Female,45 - 49 Years,Extended economic,8+ months, 153
Rupandehi,Female,45 - 49 Years,Seeking economic job,< 3 months, 80
Rupandehi,Female,45 - 49 Years,Seeking economic job,3-5 months,86
Rupandehi,Female,45 - 49 Years,Seeking economic job,6-7 months,39
Rupandehi,Female,45 - 49 Years,Seeking economic job,8+ months, 55
Rupandehi,Female,45 - 49 Years,Non-economic work,< 3 months,835
Rupandehi,Female,45 - 49 Years,Non-economic work,3 - 5 months,2135
Rupandehi,Female,45 - 49 Years,Non-economic work,6 - 7 months,  1845
Rupandehi,Female,45 - 49 Years,Non-economic work,8+ months, 9352
Rupandehi,Female,45 - 49 Years,Activity not stated,,  80
Rupandehi,Female,50 - 54 Years,Any work total person,,15816
Rupandehi,Female,50 - 54 Years,Economic,< 3 months, 250
Rupandehi,Female,50 - 54 Years,Economic,3 - 5 months,1328
Rupandehi,Female,50 - 54 Years,Economic,6 - 7 months,1982
Rupandehi,Female,50 - 54 Years,Economic,8+ months, 5067
Rupandehi,Female,50 - 54 Years,Extended economic,< 3 months, 688
Rupandehi,Female,50 - 54 Years,Extended economic,3 - 5 months,  596
Rupandehi,Female,50 - 54 Years,Extended economic,6 - 7 months,158
Rupandehi,Female,50 - 54 Years,Extended economic,8+ months, 124
Rupandehi,Female,50 - 54 Years,Seeking economic job,< 3 months, 67
Rupandehi,Female,50 - 54 Years,Seeking economic job,3-5 months,49
Rupandehi,Female,50 - 54 Years,Seeking economic job,6-7 months,17
Rupandehi,Female,50 - 54 Years,Seeking economic job,8+ months, 33
Rupandehi,Female,50 - 54 Years,Non-economic work,< 3 months,605
Rupandehi,Female,50 - 54 Years,Non-economic work,3 - 5 months,1824
Rupandehi,Female,50 - 54 Years,Non-economic work,6 - 7 months,  1685
Rupandehi,Female,50 - 54 Years,Non-economic work,8+ months, 7945
Rupandehi,Female,50 - 54 Years,Activity not stated,,  58
Rupandehi,Female,55 - 59 Years,Any work total person,,12827
Rupandehi,Female,55 - 59 Years,Economic,< 3 months, 288
Rupandehi,Female,55 - 59 Years,Economic,3 - 5 months, 754
Rupandehi,Female,55 - 59 Years,Economic,6 - 7 months,1746
Rupandehi,Female,55 - 59 Years,Economic,8+ months, 3480
Rupandehi,Female,55 - 59 Years,Extended economic,< 3 months, 465
Rupandehi,Female,55 - 59 Years,Extended economic,3 - 5 months,  574
Rupandehi,Female,55 - 59 Years,Extended economic,6 - 7 months, 64
Rupandehi,Female,55 - 59 Years,Extended economic,8+ months,  49
Rupandehi,Female,55 - 59 Years,Seeking economic job,< 3 months, 39
Rupandehi,Female,55 - 59 Years,Seeking economic job,3-5 months,65
Rupandehi,Female,55 - 59 Years,Seeking economic job,6-7 months,16
Rupandehi,Female,55 - 59 Years,Seeking economic job,8+ months,  8
Rupandehi,Female,55 - 59 Years,Non-economic work,< 3 months,524
Rupandehi,Female,55 - 59 Years,Non-economic work,3 - 5 months,1202
Rupandehi,Female,55 - 59 Years,Non-economic work,6 - 7 months,  1390
Rupandehi,Female,55 - 59 Years,Non-economic work,8+ months, 7168
Rupandehi,Female,55 - 59 Years,Activity not stated,,  87
Rupandehi,Female,60 - 64 Years,Any work total person,,11495
Rupandehi,Female,60 - 64 Years,Economic,< 3 months, 177
Rupandehi,Female,60 - 64 Years,Economic,3 - 5 months, 612
Rupandehi,Female,60 - 64 Years,Economic,6 - 7 months,1128
Rupandehi,Female,60 - 64 Years,Economic,8+ months, 2572
Rupandehi,Female,60 - 64 Years,Extended economic,< 3 months, 356
Rupandehi,Female,60 - 64 Years,Extended economic,3 - 5 months,  339
Rupandehi,Female,60 - 64 Years,Extended economic,6 - 7 months, 73
Rupandehi,Female,60 - 64 Years,Extended economic,8+ months,  65
Rupandehi,Female,60 - 64 Years,Seeking economic job,< 3 months, 17
Rupandehi,Female,60 - 64 Years,Seeking economic job,3-5 months,32
Rupandehi,Female,60 - 64 Years,Seeking economic job,6-7 months,16
Rupandehi,Female,60 - 64 Years,Seeking economic job,8+ months,  8
Rupandehi,Female,60 - 64 Years,Non-economic work,< 3 months,306
Rupandehi,Female,60 - 64 Years,Non-economic work,3 - 5 months, 678
Rupandehi,Female,60 - 64 Years,Non-economic work,6 - 7 months,  1055
Rupandehi,Female,60 - 64 Years,Non-economic work,8+ months, 7286
Rupandehi,Female,60 - 64 Years,Activity not stated,, 114
Rupandehi,Female,65 - 69 Years,Any work total person,, 8337
Rupandehi,Female,65 - 69 Years,Economic,< 3 months, 154
Rupandehi,Female,65 - 69 Years,Economic,3 - 5 months, 442
Rupandehi,Female,65 - 69 Years,Economic,6 - 7 months, 637
Rupandehi,Female,65 - 69 Years,Economic,8+ months, 1335
Rupandehi,Female,65 - 69 Years,Extended economic,< 3 months, 224
Rupandehi,Female,65 - 69 Years,Extended economic,3 - 5 months,  167
Rupandehi,Female,65 - 69 Years,Extended economic,6 - 7 months, 47
Rupandehi,Female,65 - 69 Years,Extended economic,8+ months,  31
Rupandehi,Female,65 - 69 Years,Seeking economic job,< 3 months, 31
Rupandehi,Female,65 - 69 Years,Seeking economic job,3-5 months, 8
Rupandehi,Female,65 - 69 Years,Seeking economic job,6-7 months, 8
Rupandehi,Female,65 - 69 Years,Seeking economic job,8+ months,  8
Rupandehi,Female,65 - 69 Years,Non-economic work,< 3 months,169
Rupandehi,Female,65 - 69 Years,Non-economic work,3 - 5 months, 466
Rupandehi,Female,65 - 69 Years,Non-economic work,6 - 7 months,551
Rupandehi,Female,65 - 69 Years,Non-economic work,8+ months, 6076
Rupandehi,Female,65 - 69 Years,Activity not stated,, 103
Rupandehi,Female,70 - 74 Years,Any work total person,, 5853
Rupandehi,Female,70 - 74 Years,Economic,< 3 months, 127
Rupandehi,Female,70 - 74 Years,Economic,3 - 5 months, 176
Rupandehi,Female,70 - 74 Years,Economic,6 - 7 months, 288
Rupandehi,Female,70 - 74 Years,Economic,8+ months,  550
Rupandehi,Female,70 - 74 Years,Extended economic,< 3 months, 102
Rupandehi,Female,70 - 74 Years,Extended economic,3 - 5 months,67
Rupandehi,Female,70 - 74 Years,Extended economic,6 - 7 months,  0
Rupandehi,Female,70 - 74 Years,Extended economic,8+ months,0
Rupandehi,Female,70 - 74 Years,Seeking economic job,< 3 months, 17
Rupandehi,Female,70 - 74 Years,Seeking economic job,3-5 months, 8
Rupandehi,Female,70 - 74 Years,Seeking economic job,6-7 months, 0
Rupandehi,Female,70 - 74 Years,Seeking economic job,8+ months,  8
Rupandehi,Female,70 - 74 Years,Non-economic work,< 3 months, 34
Rupandehi,Female,70 - 74 Years,Non-economic work,3 - 5 months, 169
Rupandehi,Female,70 - 74 Years,Non-economic work,6 - 7 months,279
Rupandehi,Female,70 - 74 Years,Non-economic work,8+ months, 4905
Rupandehi,Female,70 - 74 Years,Activity not stated,,  43
Rupandehi,Female,75+ Years,Any work total person,,  6503
Rupandehi,Female,75+ Years,Economic,< 3 months,  32
Rupandehi,Female,75+ Years,Economic,3 - 5 months,  64
Rupandehi,Female,75+ Years,Economic,6 - 7 months, 137
Rupandehi,Female,75+ Years,Economic,8+ months,  391
Rupandehi,Female,75+ Years,Extended economic,< 3 months,  16
Rupandehi,Female,75+ Years,Extended economic,3 - 5 months,40
Rupandehi,Female,75+ Years,Extended economic,6 - 7 months,  8
Rupandehi,Female,75+ Years,Extended economic,8+ months,8
Rupandehi,Female,75+ Years,Seeking economic job,< 3 months,  8
Rupandehi,Female,75+ Years,Seeking economic job,3-5 months, 0
Rupandehi,Female,75+ Years,Seeking economic job,6-7 months, 0
Rupandehi,Female,75+ Years,Seeking economic job,8+ months,  0
Rupandehi,Female,75+ Years,Non-economic work,< 3 months, 48
Rupandehi,Female,75+ Years,Non-economic work,3 - 5 months,  56
Rupandehi,Female,75+ Years,Non-economic work,6 - 7 months,137
Rupandehi,Female,75+ Years,Non-economic work,8+ months, 5846
Rupandehi,Female,75+ Years,Activity not stated,,  97
Kapilbastu,Male,10 - 14 Years,Any work total person,,39963
Kapilbastu,Male,10 - 14 Years,Economic,< 3 months, 864
Kapilbastu,Male,10 - 14 Years,Economic,3 - 5 months, 383
Kapilbastu,Male,10 - 14 Years,Economic,6 - 7 months, 386
Kapilbastu,Male,10 - 14 Years,Economic,8+ months,1689
Kapilbastu,Male,10 - 14 Years,Extended economic,< 3 months,  171
Kapilbastu,Male,10 - 14 Years,Extended economic,3 - 5 months,89
Kapilbastu,Male,10 - 14 Years,Extended economic,6 - 7 months, 25
Kapilbastu,Male,10 - 14 Years,Extended economic,8+ months,  90
Kapilbastu,Male,10 - 14 Years,Seeking economic job,< 3 months,130
Kapilbastu,Male,10 - 14 Years,Seeking economic job,3-5 months,105
Kapilbastu,Male,10 - 14 Years,Seeking economic job,6-7 months,  73
Kapilbastu,Male,10 - 14 Years,Seeking economic job,8+ months, 44
Kapilbastu,Male,10 - 14 Years,Non-economic work,< 3 months,127
Kapilbastu,Male,10 - 14 Years,Non-economic work,3 - 5 months, 242
Kapilbastu,Male,10 - 14 Years,Non-economic work,6 - 7 months,337
Kapilbastu,Male,10 - 14 Years,Non-economic work,8+ months,36560
Kapilbastu,Male,10 - 14 Years,Activity not stated,,1072
Kapilbastu,Male,15 - 19 Years,Any work total person,,31073
Kapilbastu,Male,15 - 19 Years,Economic,< 3 months, 737
Kapilbastu,Male,15 - 19 Years,Economic,3 - 5 months, 705
Kapilbastu,Male,15 - 19 Years,Economic,6 - 7 months, 957
Kapilbastu,Male,15 - 19 Years,Economic,8+ months,8888
Kapilbastu,Male,15 - 19 Years,Extended economic,< 3 months,  380
Kapilbastu,Male,15 - 19 Years,Extended economic,3 - 5 months,  180
Kapilbastu,Male,15 - 19 Years,Extended economic,6 - 7 months,132
Kapilbastu,Male,15 - 19 Years,Extended economic,8+ months, 158
Kapilbastu,Male,15 - 19 Years,Seeking economic job,< 3 months,455
Kapilbastu,Male,15 - 19 Years,Seeking economic job,3-5 months,544
Kapilbastu,Male,15 - 19 Years,Seeking economic job,6-7 months, 270
Kapilbastu,Male,15 - 19 Years,Seeking economic job,8+ months,586
Kapilbastu,Male,15 - 19 Years,Non-economic work,< 3 months,736
Kapilbastu,Male,15 - 19 Years,Non-economic work,3 - 5 months, 874
Kapilbastu,Male,15 - 19 Years,Non-economic work,6 - 7 months,444
Kapilbastu,Male,15 - 19 Years,Non-economic work,8+ months,19502
Kapilbastu,Male,15 - 19 Years,Activity not stated,, 653
Kapilbastu,Male,20 - 24 Years,Any work total person,,21341
Kapilbastu,Male,20 - 24 Years,Economic,< 3 months, 165
Kapilbastu,Male,20 - 24 Years,Economic,3 - 5 months, 422
Kapilbastu,Male,20 - 24 Years,Economic,6 - 7 months, 908
Kapilbastu,Male,20 - 24 Years,Economic,8+ months,  13709
Kapilbastu,Male,20 - 24 Years,Extended economic,< 3 months,  370
Kapilbastu,Male,20 - 24 Years,Extended economic,3 - 5 months,  253
Kapilbastu,Male,20 - 24 Years,Extended economic,6 - 7 months,135
Kapilbastu,Male,20 - 24 Years,Extended economic,8+ months, 133
Kapilbastu,Male,20 - 24 Years,Seeking economic job,< 3 months,658
Kapilbastu,Male,20 - 24 Years,Seeking economic job,3-5 months,556
Kapilbastu,Male,20 - 24 Years,Seeking economic job,6-7 months, 315
Kapilbastu,Male,20 - 24 Years,Seeking economic job,8+ months,593
Kapilbastu,Male,20 - 24 Years,Non-economic work,< 3 months,900
Kapilbastu,Male,20 - 24 Years,Non-economic work,3 - 5 months, 905
Kapilbastu,Male,20 - 24 Years,Non-economic work,6 - 7 months,432
Kapilbastu,Male,20 - 24 Years,Non-economic work,8+ months, 5343
Kapilbastu,Male,20 - 24 Years,Activity not stated,, 323
Kapilbastu,Male,25 - 29 Years,Any work total person,,19663
Kapilbastu,Male,25 - 29 Years,Economic,< 3 months, 101
Kapilbastu,Male,25 - 29 Years,Economic,3 - 5 months, 353
Kapilbastu,Male,25 - 29 Years,Economic,6 - 7 months,1028
Kapilbastu,Male,25 - 29 Years,Economic,8+ months,  15328
Kapilbastu,Male,25 - 29 Years,Extended economic,< 3 months,  469
Kapilbastu,Male,25 - 29 Years,Extended economic,3 - 5 months,  302
Kapilbastu,Male,25 - 29 Years,Extended economic,6 - 7 months,151
Kapilbastu,Male,25 - 29 Years,Extended economic,8+ months, 228
Kapilbastu,Male,25 - 29 Years,Seeking economic job,< 3 months,472
Kapilbastu,Male,25 - 29 Years,Seeking economic job,3-5 months,393
Kapilbastu,Male,25 - 29 Years,Seeking economic job,6-7 months, 216
Kapilbastu,Male,25 - 29 Years,Seeking economic job,8+ months,493
Kapilbastu,Male,25 - 29 Years,Non-economic work,< 3 months,901
Kapilbastu,Male,25 - 29 Years,Non-economic work,3 - 5 months,1008
Kapilbastu,Male,25 - 29 Years,Non-economic work,6 - 7 months,386
Kapilbastu,Male,25 - 29 Years,Non-economic work,8+ months, 2060
Kapilbastu,Male,25 - 29 Years,Activity not stated,, 323
Kapilbastu,Male,30 - 34 Years,Any work total person,,15948
Kapilbastu,Male,30 - 34 Years,Economic,< 3 months,  42
Kapilbastu,Male,30 - 34 Years,Economic,3 - 5 months, 242
Kapilbastu,Male,30 - 34 Years,Economic,6 - 7 months, 736
Kapilbastu,Male,30 - 34 Years,Economic,8+ months,  13536
Kapilbastu,Male,30 - 34 Years,Extended economic,< 3 months,  447
Kapilbastu,Male,30 - 34 Years,Extended economic,3 - 5 months,  320
Kapilbastu,Male,30 - 34 Years,Extended economic,6 - 7 months, 78
Kapilbastu,Male,30 - 34 Years,Extended economic,8+ months, 255
Kapilbastu,Male,30 - 34 Years,Seeking economic job,< 3 months,462
Kapilbastu,Male,30 - 34 Years,Seeking economic job,3-5 months,307
Kapilbastu,Male,30 - 34 Years,Seeking economic job,6-7 months,  72
Kapilbastu,Male,30 - 34 Years,Seeking economic job,8+ months,259
Kapilbastu,Male,30 - 34 Years,Non-economic work,< 3 months,688
Kapilbastu,Male,30 - 34 Years,Non-economic work,3 - 5 months, 834
Kapilbastu,Male,30 - 34 Years,Non-economic work,6 - 7 months,309
Kapilbastu,Male,30 - 34 Years,Non-economic work,8+ months,  813
Kapilbastu,Male,30 - 34 Years,Activity not stated,, 218
Kapilbastu,Male,35 - 39 Years,Any work total person,,16308
Kapilbastu,Male,35 - 39 Years,Economic,< 3 months,  65
Kapilbastu,Male,35 - 39 Years,Economic,3 - 5 months, 293
Kapilbastu,Male,35 - 39 Years,Economic,6 - 7 months, 888
Kapilbastu,Male,35 - 39 Years,Economic,8+ months,  14147
Kapilbastu,Male,35 - 39 Years,Extended economic,< 3 months,  477
Kapilbastu,Male,35 - 39 Years,Extended economic,3 - 5 months,  403
Kapilbastu,Male,35 - 39 Years,Extended economic,6 - 7 months,170
Kapilbastu,Male,35 - 39 Years,Extended economic,8+ months, 151
Kapilbastu,Male,35 - 39 Years,Seeking economic job,< 3 months,463
Kapilbastu,Male,35 - 39 Years,Seeking economic job,3-5 months,260
Kapilbastu,Male,35 - 39 Years,Seeking economic job,6-7 months, 121
Kapilbastu,Male,35 - 39 Years,Seeking economic job,8+ months,177
Kapilbastu,Male,35 - 39 Years,Non-economic work,< 3 months,843
Kapilbastu,Male,35 - 39 Years,Non-economic work,3 - 5 months, 899
Kapilbastu,Male,35 - 39 Years,Non-economic work,6 - 7 months,422
Kapilbastu,Male,35 - 39 Years,Non-economic work,8+ months,  550
Kapilbastu,Male,35 - 39 Years,Activity not stated,, 189
Kapilbastu,Male,40 - 44 Years,Any work total person,,13447
Kapilbastu,Male,40 - 44 Years,Economic,< 3 months,  56
Kapilbastu,Male,40 - 44 Years,Economic,3 - 5 months, 194
Kapilbastu,Male,40 - 44 Years,Economic,6 - 7 months, 598
Kapilbastu,Male,40 - 44 Years,Economic,8+ months,  11941
Kapilbastu,Male,40 - 44 Years,Extended economic,< 3 months,  412
Kapilbastu,Male,40 - 44 Years,Extended economic,3 - 5 months,  376
Kapilbastu,Male,40 - 44 Years,Extended economic,6 - 7 months, 52
Kapilbastu,Male,40 - 44 Years,Extended economic,8+ months, 157
Kapilbastu,Male,40 - 44 Years,Seeking economic job,< 3 months,274
Kapilbastu,Male,40 - 44 Years,Seeking economic job,3-5 months,187
Kapilbastu,Male,40 - 44 Years,Seeking economic job,6-7 months,  50
Kapilbastu,Male,40 - 44 Years,Seeking economic job,8+ months, 95
Kapilbastu,Male,40 - 44 Years,Non-economic work,< 3 months,782
Kapilbastu,Male,40 - 44 Years,Non-economic work,3 - 5 months, 622
Kapilbastu,Male,40 - 44 Years,Non-economic work,6 - 7 months,319
Kapilbastu,Male,40 - 44 Years,Non-economic work,8+ months,  396
Kapilbastu,Male,40 - 44 Years,Activity not stated,, 153
Kapilbastu,Male,45 - 49 Years,Any work total person,,11999
Kapilbastu,Male,45 - 49 Years,Economic,< 3 months,  32
Kapilbastu,Male,45 - 49 Years,Economic,3 - 5 months, 226
Kapilbastu,Male,45 - 49 Years,Economic,6 - 7 months, 711
Kapilbastu,Male,45 - 49 Years,Economic,8+ months,  10395
Kapilbastu,Male,45 - 49 Years,Extended economic,< 3 months,  301
Kapilbastu,Male,45 - 49 Years,Extended economic,3 - 5 months,  296
Kapilbastu,Male,45 - 49 Years,Extended economic,6 - 7 months,113
Kapilbastu,Male,45 - 49 Years,Extended economic,8+ months, 153
Kapilbastu,Male,45 - 49 Years,Seeking economic job,< 3 months,249
Kapilbastu,Male,45 - 49 Years,Seeking economic job,3-5 months,188
Kapilbastu,Male,45 - 49 Years,Seeking economic job,6-7 months,  76
Kapilbastu,Male,45 - 49 Years,Seeking economic job,8+ months, 69
Kapilbastu,Male,45 - 49 Years,Non-economic work,< 3 months,650
Kapilbastu,Male,45 - 49 Years,Non-economic work,3 - 5 months, 745
Kapilbastu,Male,45 - 49 Years,Non-economic work,6 - 7 months,231
Kapilbastu,Male,45 - 49 Years,Non-economic work,8+ months,  476
Kapilbastu,Male,45 - 49 Years,Activity not stated,,  88
Kapilbastu,Male,50 - 54 Years,Any work total person,, 9703
Kapilbastu,Male,50 - 54 Years,Economic,< 3 months,  25
Kapilbastu,Male,50 - 54 Years,Economic,3 - 5 months, 124
Kapilbastu,Male,50 - 54 Years,Economic,6 - 7 months, 568
Kapilbastu,Male,50 - 54 Years,Economic,8+ months,8395
Kapilbastu,Male,50 - 54 Years,Extended economic,< 3 months,  262
Kapilbastu,Male,50 - 54 Years,Extended economic,3 - 5 months,  135
Kapilbastu,Male,50 - 54 Years,Extended economic,6 - 7 months, 51
Kapilbastu,Male,50 - 54 Years,Extended economic,8+ months,  67
Kapilbastu,Male,50 - 54 Years,Seeking economic job,< 3 months,144
Kapilbastu,Male,50 - 54 Years,Seeking economic job,3-5 months, 93
Kapilbastu,Male,50 - 54 Years,Seeking economic job,6-7 months,  52
Kapilbastu,Male,50 - 54 Years,Seeking economic job,8+ months, 27
Kapilbastu,Male,50 - 54 Years,Non-economic work,< 3 months,561
Kapilbastu,Male,50 - 54 Years,Non-economic work,3 - 5 months, 641
Kapilbastu,Male,50 - 54 Years,Non-economic work,6 - 7 months,282
Kapilbastu,Male,50 - 54 Years,Non-economic work,8+ months,  551
Kapilbastu,Male,50 - 54 Years,Activity not stated,,  79
Kapilbastu,Male,55 - 59 Years,Any work total person,, 8474
Kapilbastu,Male,55 - 59 Years,Economic,< 3 months,  56
Kapilbastu,Male,55 - 59 Years,Economic,3 - 5 months, 123
Kapilbastu,Male,55 - 59 Years,Economic,6 - 7 months, 439
