District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
 Gorkha,,,,,,Illiterate,  Female,Other relatives,25
 Gorkha,,,,,,Illiterate,  Female,Employer,4
 Gorkha,,,,,,Illiterate,  Female,Others,54
 Gorkha,,,,,,Illiterate,  Female,Not stated,19
 Gorkha,,,,,,Literate,  Female,Parents,26348
 Gorkha,,,,,,Literate,  Female,Mother,5526
 Gorkha,,,,,,Literate,  Female,Father,304
 Gorkha,,,,,,Literate,  Female,Father and step mother,69
 Gorkha,,,,,,Literate,  Female,Mother and step father,7
 Gorkha,,,,,,Literate,  Female,Other relatives,229
 Gorkha,,,,,,Literate,  Female,Employer,10
 Gorkha,,,,,,Literate,  Female,Others,852
 Gorkha,,,,,,Literate,  Female,Not stated,178
 Gorkha,,,,,,Literacy not stated,  Female,Parents,8
 Gorkha,,,,,,Literacy not stated,  Female,Mother,0
 Gorkha,,,,,,Literacy not stated,  Female,Father,0
 Gorkha,,,,,,Literacy not stated,  Female,Father and step mother,0
 Gorkha,,,,,,Literacy not stated,  Female,Mother and step father,0
 Gorkha,,,,,,Literacy not stated,  Female,Other relatives,0
 Gorkha,,,,,,Literacy not stated,  Female,Employer,0
 Gorkha,,,,,,Literacy not stated,  Female,Others,0
 Gorkha,,,,,,Literacy not stated,  Female,Not stated,0
 Lamjung,,,,,,Illiterate,Male,Parents,1019
 Lamjung,,,,,,Illiterate,Male,Mother,282
 Lamjung,,,,,,Illiterate,Male,Father,8
 Lamjung,,,,,,Illiterate,Male,Father and step mother,17
 Lamjung,,,,,,Illiterate,Male,Mother and step father,0
 Lamjung,,,,,,Illiterate,Male,Other relatives,0
 Lamjung,,,,,,Illiterate,Male,Employer,8
 Lamjung,,,,,,Illiterate,Male,Others,41
 Lamjung,,,,,,Illiterate,Male,Not stated,17
 Lamjung,,,,,,Literate,Male,Parents,15525
 Lamjung,,,,,,Literate,Male,Mother,3704
 Lamjung,,,,,,Literate,Male,Father,131
 Lamjung,,,,,,Literate,Male,Father and step mother,74
 Lamjung,,,,,,Literate,Male,Mother and step father,25
 Lamjung,,,,,,Literate,Male,Other relatives,247
 Lamjung,,,,,,Literate,Male,Employer,8
 Lamjung,,,,,,Literate,Male,Others,535
 Lamjung,,,,,,Literate,Male,Not stated,74
 Lamjung,,,,,,Literacy not stated,Male,Parents,0
 Lamjung,,,,,,Literacy not stated,Male,Mother,0
 Lamjung,,,,,,Literacy not stated,Male,Father,0
 Lamjung,,,,,,Literacy not stated,Male,Father and step mother,0
 Lamjung,,,,,,Literacy not stated,Male,Mother and step father,0
 Lamjung,,,,,,Literacy not stated,Male,Other relatives,0
 Lamjung,,,,,,Literacy not stated,Male,Employer,0
 Lamjung,,,,,,Literacy not stated,Male,Others,0
 Lamjung,,,,,,Literacy not stated,Male,Not stated,0
 Lamjung,,,,,,Illiterate,  Female,Parents,1080
 Lamjung,,,,,,Illiterate,  Female,Mother,190
 Lamjung,,,,,,Illiterate,  Female,Father,8
 Lamjung,,,,,,Illiterate,  Female,Father and step mother,0
 Lamjung,,,,,,Illiterate,  Female,Mother and step father,0
 Lamjung,,,,,,Illiterate,  Female,Other relatives,0
 Lamjung,,,,,,Illiterate,  Female,Employer,0
 Lamjung,,,,,,Illiterate,  Female,Others,8
 Lamjung,,,,,,Illiterate,  Female,Not stated,8
 Lamjung,,,,,,Literate,  Female,Parents,15453
 Lamjung,,,,,,Literate,  Female,Mother,3744
 Lamjung,,,,,,Literate,  Female,Father,203
 Lamjung,,,,,,Literate,  Female,Father and step mother,8
 Lamjung,,,,,,Literate,  Female,Mother and step father,16
 Lamjung,,,,,,Literate,  Female,Other relatives,259
 Lamjung,,,,,,Literate,  Female,Employer,8
 Lamjung,,,,,,Literate,  Female,Others,438
 Lamjung,,,,,,Literate,  Female,Not stated,178
 Lamjung,,,,,,Literacy not stated,  Female,Parents,0
 Lamjung,,,,,,Literacy not stated,  Female,Mother,0
 Lamjung,,,,,,Literacy not stated,  Female,Father,0
 Lamjung,,,,,,Literacy not stated,  Female,Father and step mother,0
 Lamjung,,,,,,Literacy not stated,  Female,Mother and step father,0
 Lamjung,,,,,,Literacy not stated,  Female,Other relatives,0
 Lamjung,,,,,,Literacy not stated,  Female,Employer,0
 Lamjung,,,,,,Literacy not stated,  Female,Others,0
 Lamjung,,,,,,Literacy not stated,  Female,Not stated,0
 Tanahu,,,,,,Illiterate,Male,Parents,2245
 Tanahu,,,,,,Illiterate,Male,Mother,661
 Tanahu,,,,,,Illiterate,Male,Father,24
 Tanahu,,,,,,Illiterate,Male,Father and step mother,17
 Tanahu,,,,,,Illiterate,Male,Mother and step father,8
 Tanahu,,,,,,Illiterate,Male,Other relatives,33
 Tanahu,,,,,,Illiterate,Male,Employer,0
 Tanahu,,,,,,Illiterate,Male,Others,49
 Tanahu,,,,,,Illiterate,Male,Not stated,83
 Tanahu,,,,,,Literate,Male,Parents,29074
 Tanahu,,,,,,Literate,Male,Mother,10199
 Tanahu,,,,,,Literate,Male,Father,240
 Tanahu,,,,,,Literate,Male,Father and step mother,280
 Tanahu,,,,,,Literate,Male,Mother and step father,16
 Tanahu,,,,,,Literate,Male,Other relatives,378
 Tanahu,,,,,,Literate,Male,Employer,16
 Tanahu,,,,,,Literate,Male,Others,876
 Tanahu,,,,,,Literate,Male,Not stated,243
 Tanahu,,,,,,Literacy not stated,Male,Parents,8
 Tanahu,,,,,,Literacy not stated,Male,Mother,0
 Tanahu,,,,,,Literacy not stated,Male,Father,0
 Tanahu,,,,,,Literacy not stated,Male,Father and step mother,0
 Tanahu,,,,,,Literacy not stated,Male,Mother and step father,0
 Tanahu,,,,,,Literacy not stated,Male,Other relatives,0
 Tanahu,,,,,,Literacy not stated,Male,Employer,0
 Tanahu,,,,,,Literacy not stated,Male,Others,0
 Tanahu,,,,,,Literacy not stated,Male,Not stated,8
 Tanahu,,,,,,Illiterate,  Female,Parents,2391
 Tanahu,,,,,,Illiterate,  Female,Mother,727
 Tanahu,,,,,,Illiterate,  Female,Father,57
 Tanahu,,,,,,Illiterate,  Female,Father and step mother,0
 Tanahu,,,,,,Illiterate,  Female,Mother and step father,0
 Tanahu,,,,,,Illiterate,  Female,Other relatives,8
 Tanahu,,,,,,Illiterate,  Female,Employer,0
 Tanahu,,,,,,Illiterate,  Female,Others,113
 Tanahu,,,,,,Illiterate,  Female,Not stated,65
 Tanahu,,,,,,Literate,  Female,Parents,29748
 Tanahu,,,,,,Literate,  Female,Mother,9372
 Tanahu,,,,,,Literate,  Female,Father,219
 Tanahu,,,,,,Literate,  Female,Father and step mother,219
 Tanahu,,,,,,Literate,  Female,Mother and step father,24
 Tanahu,,,,,,Literate,  Female,Other relatives,332
 Tanahu,,,,,,Literate,  Female,Employer,32
 Tanahu,,,,,,Literate,  Female,Others,921
 Tanahu,,,,,,Literate,  Female,Not stated,325
 Tanahu,,,,,,Literacy not stated,  Female,Parents,0
 Tanahu,,,,,,Literacy not stated,  Female,Mother,0
 Tanahu,,,,,,Literacy not stated,  Female,Father,0
 Tanahu,,,,,,Literacy not stated,  Female,Father and step mother,0
 Tanahu,,,,,,Literacy not stated,  Female,Mother and step father,0
 Tanahu,,,,,,Literacy not stated,  Female,Other relatives,0
 Tanahu,,,,,,Literacy not stated,  Female,Employer,0
 Tanahu,,,,,,Literacy not stated,  Female,Others,0
 Tanahu,,,,,,Literacy not stated,  Female,Not stated,0
 Syangja,,,,,,Illiterate,Male,Parents,1563
 Syangja,,,,,,Illiterate,Male,Mother,390
 Syangja,,,,,,Illiterate,Male,Father,68
 Syangja,,,,,,Illiterate,Male,Father and step mother,25
 Syangja,,,,,,Illiterate,Male,Mother and step father,0
 Syangja,,,,,,Illiterate,Male,Other relatives,9
 Syangja,,,,,,Illiterate,Male,Employer,1
 Syangja,,,,,,Illiterate,Male,Others,29
 Syangja,,,,,,Illiterate,Male,Not stated,45
 Syangja,,,,,,Literate,Male,Parents,27235
 Syangja,,,,,,Literate,Male,Mother,7765
 Syangja,,,,,,Literate,Male,Father,267
 Syangja,,,,,,Literate,Male,Father and step mother,170
 Syangja,,,,,,Literate,Male,Mother and step father,9
 Syangja,,,,,,Literate,Male,Other relatives,265
 Syangja,,,,,,Literate,Male,Employer,30
 Syangja,,,,,,Literate,Male,Others,797
 Syangja,,,,,,Literate,Male,Not stated,170
 Syangja,,,,,,Literacy not stated,Male,Parents,0
 Syangja,,,,,,Literacy not stated,Male,Mother,0
 Syangja,,,,,,Literacy not stated,Male,Father,0
 Syangja,,,,,,Literacy not stated,Male,Father and step mother,0
 Syangja,,,,,,Literacy not stated,Male,Mother and step father,0
 Syangja,,,,,,Literacy not stated,Male,Other relatives,0
 Syangja,,,,,,Literacy not stated,Male,Employer,0
 Syangja,,,,,,Literacy not stated,Male,Others,0
 Syangja,,,,,,Literacy not stated,Male,Not stated,0
 Syangja,,,,,,Illiterate,  Female,Parents,1592
 Syangja,,,,,,Illiterate,  Female,Mother,507
 Syangja,,,,,,Illiterate,  Female,Father,32
 Syangja,,,,,,Illiterate,  Female,Father and step mother,16
 Syangja,,,,,,Illiterate,  Female,Mother and step father,8
 Syangja,,,,,,Illiterate,  Female,Other relatives,17
 Syangja,,,,,,Illiterate,  Female,Employer,17
 Syangja,,,,,,Illiterate,  Female,Others,43
 Syangja,,,,,,Illiterate,  Female,Not stated,50
 Syangja,,,,,,Literate,  Female,Parents,26876
 Syangja,,,,,,Literate,  Female,Mother,8269
 Syangja,,,,,,Literate,  Female,Father,261
 Syangja,,,,,,Literate,  Female,Father and step mother,81
 Syangja,,,,,,Literate,  Female,Mother and step father,24
 Syangja,,,,,,Literate,  Female,Other relatives,201
 Syangja,,,,,,Literate,  Female,Employer,19
 Syangja,,,,,,Literate,  Female,Others,804
 Syangja,,,,,,Literate,  Female,Not stated,157
 Syangja,,,,,,Literacy not stated,  Female,Parents,9
 Syangja,,,,,,Literacy not stated,  Female,Mother,0
 Syangja,,,,,,Literacy not stated,  Female,Father,0
 Syangja,,,,,,Literacy not stated,  Female,Father and step mother,0
 Syangja,,,,,,Literacy not stated,  Female,Mother and step father,0
 Syangja,,,,,,Literacy not stated,  Female,Other relatives,0
 Syangja,,,,,,Literacy not stated,  Female,Employer,0
 Syangja,,,,,,Literacy not stated,  Female,Others,0
 Syangja,,,,,,Literacy not stated,  Female,Not stated,0
 Kaski,,,,,,Illiterate,Male,Parents,1830
 Kaski,,,,,,Illiterate,Male,Mother,471
 Kaski,,,,,,Illiterate,Male,Father,24
 Kaski,,,,,,Illiterate,Male,Father and step mother,8
 Kaski,,,,,,Illiterate,Male,Mother and step father,0
 Kaski,,,,,,Illiterate,Male,Other relatives,8
 Kaski,,,,,,Illiterate,Male,Employer,24
 Kaski,,,,,,Illiterate,Male,Others,89
 Kaski,,,,,,Illiterate,Male,Not stated,57
 Kaski,,,,,,Literate,Male,Parents,42514
 Kaski,,,,,,Literate,Male,Mother,9287
 Kaski,,,,,,Literate,Male,Father,586
 Kaski,,,,,,Literate,Male,Father and step mother,243
 Kaski,,,,,,Literate,Male,Mother and step father,16
 Kaski,,,,,,Literate,Male,Other relatives,505
 Kaski,,,,,,Literate,Male,Employer,123
 Kaski,,,,,,Literate,Male,Others,1767
 Kaski,,,,,,Literate,Male,Not stated,326
 Kaski,,,,,,Literacy not stated,Male,Parents,0
 Kaski,,,,,,Literacy not stated,Male,Mother,0
 Kaski,,,,,,Literacy not stated,Male,Father,0
 Kaski,,,,,,Literacy not stated,Male,Father and step mother,0
 Kaski,,,,,,Literacy not stated,Male,Mother and step father,0
 Kaski,,,,,,Literacy not stated,Male,Other relatives,0
 Kaski,,,,,,Literacy not stated,Male,Employer,0
 Kaski,,,,,,Literacy not stated,Male,Others,0
 Kaski,,,,,,Literacy not stated,Male,Not stated,0
 Kaski,,,,,,Illiterate,  Female,Parents,1770
 Kaski,,,,,,Illiterate,  Female,Mother,438
 Kaski,,,,,,Illiterate,  Female,Father,16
 Kaski,,,,,,Illiterate,  Female,Father and step mother,25
 Kaski,,,,,,Illiterate,  Female,Mother and step father,0
 Kaski,,,,,,Illiterate,  Female,Other relatives,16
 Kaski,,,,,,Illiterate,  Female,Employer,32
 Kaski,,,,,,Illiterate,  Female,Others,99
 Kaski,,,,,,Illiterate,  Female,Not stated,59
 Kaski,,,,,,Literate,  Female,Parents,40836
 Kaski,,,,,,Literate,  Female,Mother,8681
 Kaski,,,,,,Literate,  Female,Father,479
 Kaski,,,,,,Literate,  Female,Father and step mother,187
 Kaski,,,,,,Literate,  Female,Mother and step father,74
 Kaski,,,,,,Literate,  Female,Other relatives,575
 Kaski,,,,,,Literate,  Female,Employer,96
 Kaski,,,,,,Literate,  Female,Others,1511
 Kaski,,,,,,Literate,  Female,Not stated,319
 Kaski,,,,,,Literacy not stated,  Female,Parents,0
 Kaski,,,,,,Literacy not stated,  Female,Mother,0
 Kaski,,,,,,Literacy not stated,  Female,Father,0
 Kaski,,,,,,Literacy not stated,  Female,Father and step mother,0
 Kaski,,,,,,Literacy not stated,  Female,Mother and step father,0
 Kaski,,,,,,Literacy not stated,  Female,Other relatives,0
 Kaski,,,,,,Literacy not stated,  Female,Employer,0
 Kaski,,,,,,Literacy not stated,  Female,Others,0
 Kaski,,,,,,Literacy not stated,  Female,Not stated,0
 Manang,,,,,,Illiterate,Male,Parents,26
 Manang,,,,,,Illiterate,Male,Mother,1
 Manang,,,,,,Illiterate,Male,Father,0
 Manang,,,,,,Illiterate,Male,Father and step mother,1
 Manang,,,,,,Illiterate,Male,Mother and step father,0
 Manang,,,,,,Illiterate,Male,Other relatives,0
 Manang,,,,,,Illiterate,Male,Employer,3
 Manang,,,,,,Illiterate,Male,Others,0
 Manang,,,,,,Illiterate,Male,Not stated,1
 Manang,,,,,,Literate,Male,Parents,428
 Manang,,,,,,Literate,Male,Mother,25
 Manang,,,,,,Literate,Male,Father,9
 Manang,,,,,,Literate,Male,Father and step mother,3
 Manang,,,,,,Literate,Male,Mother and step father,0
 Manang,,,,,,Literate,Male,Other relatives,9
 Manang,,,,,,Literate,Male,Employer,1
 Manang,,,,,,Literate,Male,Others,17
 Manang,,,,,,Literate,Male,Not stated,3
 Manang,,,,,,Literacy not stated,Male,Parents,0
 Manang,,,,,,Literacy not stated,Male,Mother,0
 Manang,,,,,,Literacy not stated,Male,Father,0
 Manang,,,,,,Literacy not stated,Male,Father and step mother,0
 Manang,,,,,,Literacy not stated,Male,Mother and step father,0
 Manang,,,,,,Literacy not stated,Male,Other relatives,0
 Manang,,,,,,Literacy not stated,Male,Employer,0
 Manang,,,,,,Literacy not stated,Male,Others,0
 Manang,,,,,,Literacy not stated,Male,Not stated,0
 Manang,,,,,,Illiterate,  Female,Parents,24
 Manang,,,,,,Illiterate,  Female,Mother,2
 Manang,,,,,,Illiterate,  Female,Father,0
 Manang,,,,,,Illiterate,  Female,Father and step mother,0
 Manang,,,,,,Illiterate,  Female,Mother and step father,0
 Manang,,,,,,Illiterate,  Female,Other relatives,0
 Manang,,,,,,Illiterate,  Female,Employer,0
 Manang,,,,,,Illiterate,  Female,Others,3
 Manang,,,,,,Illiterate,  Female,Not stated,0
 Manang,,,,,,Literate,  Female,Parents,460
 Manang,,,,,,Literate,  Female,Mother,20
 Manang,,,,,,Literate,  Female,Father,9
 Manang,,,,,,Literate,  Female,Father and step mother,1
 Manang,,,,,,Literate,  Female,Mother and step father,0
 Manang,,,,,,Literate,  Female,Other relatives,11
 Manang,,,,,,Literate,  Female,Employer,3
 Manang,,,,,,Literate,  Female,Others,23
 Manang,,,,,,Literate,  Female,Not stated,0
 Manang,,,,,,Literacy not stated,  Female,Parents,0
 Manang,,,,,,Literacy not stated,  Female,Mother,0
 Manang,,,,,,Literacy not stated,  Female,Father,0
 Manang,,,,,,Literacy not stated,  Female,Father and step mother,0
 Manang,,,,,,Literacy not stated,  Female,Mother and step father,0
 Manang,,,,,,Literacy not stated,  Female,Other relatives,0
 Manang,,,,,,Literacy not stated,  Female,Employer,0
 Manang,,,,,,Literacy not stated,  Female,Others,0
 Manang,,,,,,Literacy not stated,  Female,Not stated,0
 Mustang,,,,,,Illiterate,Male,Parents,72
 Mustang,,,,,,Illiterate,Male,Mother,13
 Mustang,,,,,,Illiterate,Male,Father,1
 Mustang,,,,,,Illiterate,Male,Father and step mother,0
 Mustang,,,,,,Illiterate,Male,Mother and step father,0
 Mustang,,,,,,Illiterate,Male,Other relatives,0
 Mustang,,,,,,Illiterate,Male,Employer,0
 Mustang,,,,,,Illiterate,Male,Others,1
 Mustang,,,,,,Illiterate,Male,Not stated,1
 Mustang,,,,,,Literate,Male,Parents,564
 Mustang,,,,,,Literate,Male,Mother,78
 Mustang,,,,,,Literate,Male,Father,16
 Mustang,,,,,,Literate,Male,Father and step mother,1
 Mustang,,,,,,Literate,Male,Mother and step father,1
 Mustang,,,,,,Literate,Male,Other relatives,15
 Mustang,,,,,,Literate,Male,Employer,11
 Mustang,,,,,,Literate,Male,Others,27
 Mustang,,,,,,Literate,Male,Not stated,10
 Mustang,,,,,,Literacy not stated,Male,Parents,0
 Mustang,,,,,,Literacy not stated,Male,Mother,0
 Mustang,,,,,,Literacy not stated,Male,Father,0
 Mustang,,,,,,Literacy not stated,Male,Father and step mother,0
 Mustang,,,,,,Literacy not stated,Male,Mother and step father,0
 Mustang,,,,,,Literacy not stated,Male,Other relatives,0
 Mustang,,,,,,Literacy not stated,Male,Employer,0
 Mustang,,,,,,Literacy not stated,Male,Others,0
 Mustang,,,,,,Literacy not stated,Male,Not stated,0
 Mustang,,,,,,Illiterate,  Female,Parents,85
 Mustang,,,,,,Illiterate,  Female,Mother,8
 Mustang,,,,,,Illiterate,  Female,Father,2
 Mustang,,,,,,Illiterate,  Female,Father and step mother,0
 Mustang,,,,,,Illiterate,  Female,Mother and step father,0
 Mustang,,,,,,Illiterate,  Female,Other relatives,2
 Mustang,,,,,,Illiterate,  Female,Employer,3
 Mustang,,,,,,Illiterate,  Female,Others,1
 Mustang,,,,,,Illiterate,  Female,Not stated,2
 Mustang,,,,,,Literate,  Female,Parents,609
 Mustang,,,,,,Literate,  Female,Mother,73
 Mustang,,,,,,Literate,  Female,Father,11
 Mustang,,,,,,Literate,  Female,Father and step mother,1
 Mustang,,,,,,Literate,  Female,Mother and step father,0
 Mustang,,,,,,Literate,  Female,Other relatives,15
 Mustang,,,,,,Literate,  Female,Employer,14
 Mustang,,,,,,Literate,  Female,Others,33
 Mustang,,,,,,Literate,  Female,Not stated,9
 Mustang,,,,,,Literacy not stated,  Female,Parents,0
 Mustang,,,,,,Literacy not stated,  Female,Mother,0
 Mustang,,,,,,Literacy not stated,  Female,Father,0
 Mustang,,,,,,Literacy not stated,  Female,Father and step mother,0
 Mustang,,,,,,Literacy not stated,  Female,Mother and step father,0
 Mustang,,,,,,Literacy not stated,  Female,Other relatives,0
 Mustang,,,,,,Literacy not stated,  Female,Employer,0
 Mustang,,,,,,Literacy not stated,  Female,Others,0
 Mustang,,,,,,Literacy not stated,  Female,Not stated,0
 Myagdi,,,,,,Illiterate,Male,Parents,976
 Myagdi,,,,,,Illiterate,Male,Mother,312
 Myagdi,,,,,,Illiterate,Male,Father,0
 Myagdi,,,,,,Illiterate,Male,Father and step mother,8
 Myagdi,,,,,,Illiterate,Male,Mother and step father,8
 Myagdi,,,,,,Illiterate,Male,Other relatives,8
 Myagdi,,,,,,Illiterate,Male,Employer,0
 Myagdi,,,,,,Illiterate,Male,Others,48
 Myagdi,,,,,,Illiterate,Male,Not stated,16
 Myagdi,,,,,,Literate,Male,Parents,10028
 Myagdi,,,,,,Literate,Male,Mother,2733
 Myagdi,,,,,,Literate,Male,Father,165
 Myagdi,,,,,,Literate,Male,Father and step mother,126
 Myagdi,,,,,,Literate,Male,Mother and step father,16
 Myagdi,,,,,,Literate,Male,Other relatives,150
 Myagdi,,,,,,Literate,Male,Employer,8
 Myagdi,,,,,,Literate,Male,Others,409
 Myagdi,,,,,,Literate,Male,Not stated,55
 Myagdi,,,,,,Literacy not stated,Male,Parents,0
 Myagdi,,,,,,Literacy not stated,Male,Mother,0
 Myagdi,,,,,,Literacy not stated,Male,Father,0
 Myagdi,,,,,,Literacy not stated,Male,Father and step mother,0
 Myagdi,,,,,,Literacy not stated,Male,Mother and step father,0
 Myagdi,,,,,,Literacy not stated,Male,Other relatives,0
 Myagdi,,,,,,Literacy not stated,Male,Employer,0
 Myagdi,,,,,,Literacy not stated,Male,Others,0
 Myagdi,,,,,,Literacy not stated,Male,Not stated,0
 Myagdi,,,,,,Illiterate,  Female,Parents,1036
 Myagdi,,,,,,Illiterate,  Female,Mother,285
 Myagdi,,,,,,Illiterate,  Female,Father,0
 Myagdi,,,,,,Illiterate,  Female,Father and step mother,16
 Myagdi,,,,,,Illiterate,  Female,Mother and step father,8
 Myagdi,,,,,,Illiterate,  Female,Other relatives,16
 Myagdi,,,,,,Illiterate,  Female,Employer,0
 Myagdi,,,,,,Illiterate,  Female,Others,39
 Myagdi,,,,,,Illiterate,  Female,Not stated,32
 Myagdi,,,,,,Literate,  Female,Parents,10108
 Myagdi,,,,,,Literate,  Female,Mother,2754
 Myagdi,,,,,,Literate,  Female,Father,110
 Myagdi,,,,,,Literate,  Female,Father and step mother,78
 Myagdi,,,,,,Literate,  Female,Mother and step father,24
 Myagdi,,,,,,Literate,  Female,Other relatives,149
 Myagdi,,,,,,Literate,  Female,Employer,0
 Myagdi,,,,,,Literate,  Female,Others,462
 Myagdi,,,,,,Literate,  Female,Not stated,78
 Myagdi,,,,,,Literacy not stated,  Female,Parents,0
 Myagdi,,,,,,Literacy not stated,  Female,Mother,0
 Myagdi,,,,,,Literacy not stated,  Female,Father,0
 Myagdi,,,,,,Literacy not stated,  Female,Father and step mother,0
 Myagdi,,,,,,Literacy not stated,  Female,Mother and step father,0
 Myagdi,,,,,,Literacy not stated,  Female,Other relatives,0
 Myagdi,,,,,,Literacy not stated,  Female,Employer,0
 Myagdi,,,,,,Literacy not stated,  Female,Others,0
 Myagdi,,,,,,Literacy not stated,  Female,Not stated,0
 Parbat,,,,,,Illiterate,Male,Parents,1084
 Parbat,,,,,,Illiterate,Male,Mother,478
 Parbat,,,,,,Illiterate,Male,Father,23
 Parbat,,,,,,Illiterate,Male,Father and step mother,8
 Parbat,,,,,,Illiterate,Male,Mother and step father,0
 Parbat,,,,,,Illiterate,Male,Other relatives,0
 Parbat,,,,,,Illiterate,Male,Employer,8
 Parbat,,,,,,Illiterate,Male,Others,39
 Parbat,,,,,,Illiterate,Male,Not stated,23
 Parbat,,,,,,Literate,Male,Parents,12694
 Parbat,,,,,,Literate,Male,Mother,4512
 Parbat,,,,,,Literate,Male,Father,192
 Parbat,,,,,,Literate,Male,Father and step mother,64
 Parbat,,,,,,Literate,Male,Mother and step father,0
 Parbat,,,,,,Literate,Male,Other relatives,143
 Parbat,,,,,,Literate,Male,Employer,0
 Parbat,,,,,,Literate,Male,Others,349
 Parbat,,,,,,Literate,Male,Not stated,47
 Parbat,,,,,,Literacy not stated,Male,Parents,8
 Parbat,,,,,,Literacy not stated,Male,Mother,0
 Parbat,,,,,,Literacy not stated,Male,Father,0
 Parbat,,,,,,Literacy not stated,Male,Father and step mother,0
 Parbat,,,,,,Literacy not stated,Male,Mother and step father,0
 Parbat,,,,,,Literacy not stated,Male,Other relatives,0
 Parbat,,,,,,Literacy not stated,Male,Employer,0
 Parbat,,,,,,Literacy not stated,Male,Others,0
 Parbat,,,,,,Literacy not stated,Male,Not stated,0
 Parbat,,,,,,Illiterate,  Female,Parents,1227
 Parbat,,,,,,Illiterate,  Female,Mother,349
 Parbat,,,,,,Illiterate,  Female,Father,8
 Parbat,,,,,,Illiterate,  Female,Father and step mother,16
 Parbat,,,,,,Illiterate,  Female,Mother and step father,0
 Parbat,,,,,,Illiterate,  Female,Other relatives,0
 Parbat,,,,,,Illiterate,  Female,Employer,8
 Parbat,,,,,,Illiterate,  Female,Others,32
 Parbat,,,,,,Illiterate,  Female,Not stated,41
 Parbat,,,,,,Literate,  Female,Parents,12404
 Parbat,,,,,,Literate,  Female,Mother,4389
 Parbat,,,,,,Literate,  Female,Father,196
 Parbat,,,,,,Literate,  Female,Father and step mother,16
 Parbat,,,,,,Literate,  Female,Mother and step father,0
 Parbat,,,,,,Literate,  Female,Other relatives,98
 Parbat,,,,,,Literate,  Female,Employer,8
 Parbat,,,,,,Literate,  Female,Others,513
 Parbat,,,,,,Literate,  Female,Not stated,73
 Parbat,,,,,,Literacy not stated,  Female,Parents,8
 Parbat,,,,,,Literacy not stated,  Female,Mother,0
 Parbat,,,,,,Literacy not stated,  Female,Father,0
 Parbat,,,,,,Literacy not stated,  Female,Father and step mother,0
 Parbat,,,,,,Literacy not stated,  Female,Mother and step father,0
 Parbat,,,,,,Literacy not stated,  Female,Other relatives,0
 Parbat,,,,,,Literacy not stated,  Female,Employer,0
 Parbat,,,,,,Literacy not stated,  Female,Others,0
 Parbat,,,,,,Literacy not stated,  Female,Not stated,0
 Baglung,,,,,,Illiterate,Male,Parents,3223
 Baglung,,,,,,Illiterate,Male,Mother,650
 Baglung,,,,,,Illiterate,Male,Father,32
 Baglung,,,,,,Illiterate,Male,Father and step mother,16
 Baglung,,,,,,Illiterate,Male,Mother and step father,0
 Baglung,,,,,,Illiterate,Male,Other relatives,1
 Baglung,,,,,,Illiterate,Male,Employer,1
 Baglung,,,,,,Illiterate,Male,Others,80
 Baglung,,,,,,Illiterate,Male,Not stated,58
 Baglung,,,,,,Literate,Male,Parents,24703
 Baglung,,,,,,Literate,Male,Mother,7137
 Baglung,,,,,,Literate,Male,Father,228
 Baglung,,,,,,Literate,Male,Father and step mother,128
 Baglung,,,,,,Literate,Male,Mother and step father,40
 Baglung,,,,,,Literate,Male,Other relatives,213
 Baglung,,,,,,Literate,Male,Employer,13
 Baglung,,,,,,Literate,Male,Others,750
 Baglung,,,,,,Literate,Male,Not stated,268
 Baglung,,,,,,Literacy not stated,Male,Parents,0
 Baglung,,,,,,Literacy not stated,Male,Mother,0
 Baglung,,,,,,Literacy not stated,Male,Father,0
 Baglung,,,,,,Literacy not stated,Male,Father and step mother,0
 Baglung,,,,,,Literacy not stated,Male,Mother and step father,0
 Baglung,,,,,,Literacy not stated,Male,Other relatives,0
 Baglung,,,,,,Literacy not stated,Male,Employer,0
 Baglung,,,,,,Literacy not stated,Male,Others,0
 Baglung,,,,,,Literacy not stated,Male,Not stated,0
 Baglung,,,,,,Illiterate,  Female,Parents,3325
 Baglung,,,,,,Illiterate,  Female,Mother,830
 Baglung,,,,,,Illiterate,  Female,Father,105
 Baglung,,,,,,Illiterate,  Female,Father and step mother,16
 Baglung,,,,,,Illiterate,  Female,Mother and step father,0
 Baglung,,,,,,Illiterate,  Female,Other relatives,9
 Baglung,,,,,,Illiterate,  Female,Employer,0
 Baglung,,,,,,Illiterate,  Female,Others,71
 Baglung,,,,,,Illiterate,  Female,Not stated,72
 Baglung,,,,,,Literate,  Female,Parents,24889
 Baglung,,,,,,Literate,  Female,Mother,7103
 Baglung,,,,,,Literate,  Female,Father,222
 Baglung,,,,,,Literate,  Female,Father and step mother,106
 Baglung,,,,,,Literate,  Female,Mother and step father,20
 Baglung,,,,,,Literate,  Female,Other relatives,199
 Baglung,,,,,,Literate,  Female,Employer,9
 Baglung,,,,,,Literate,  Female,Others,740
 Baglung,,,,,,Literate,  Female,Not stated,246
 Baglung,,,,,,Literacy not stated,  Female,Parents,25
 Baglung,,,,,,Literacy not stated,  Female,Mother,8
 Baglung,,,,,,Literacy not stated,  Female,Father,0
 Baglung,,,,,,Literacy not stated,  Female,Father and step mother,0
 Baglung,,,,,,Literacy not stated,  Female,Mother and step father,0
